t_rel	session	ms	outcome	t_abs
0.382	0	17.47	ok	1786943557.609
0.716	0	39.4	ok	1786943557.943
1.05	0	19.2	ok	1786943558.277
1.384	0	18.44	ok	1786943558.611
1.717	0	18.62	ok	1786943558.944
2.051	0	19.14	ok	1786943559.278
2.385	0	18.3	ok	1786943559.612
2.718	0	18.6	ok	1786943559.945
3.052	0	18.91	ok	1786943560.279
3.386	0	17.85	ok	1786943560.613
3.72	0	18.48	ok	1786943560.947
4.053	0	18.6	ok	1786943561.280
4.387	0	18.68	ok	1786943561.614
4.721	0	18.11	ok	1786943561.948
5.054	0	18.43	ok	1786943562.281
5.388	0	18.47	ok	1786943562.615
5.722	0	19.2	ok	1786943562.949
6.055	0	17.66	ok	1786943563.282
6.389	0	17.85	ok	1786943563.616
6.723	0	17.86	ok	1786943563.950
7.056	0	18.17	ok	1786943564.283
7.39	0	18.44	ok	1786943564.617
7.724	0	18.63	ok	1786943564.951
8.057	0	18.51	ok	1786943565.284
8.391	0	18.27	ok	1786943565.618
8.725	0	18.47	ok	1786943565.952
9.058	0	18.63	ok	1786943566.285
9.392	0	18.26	ok	1786943566.619
9.726	0	18.64	ok	1786943566.953
10.059	0	17.89	ok	1786943567.286
10.393	0	18.09	ok	1786943567.620
10.727	0	17.99	ok	1786943567.954
11.06	0	18.72	ok	1786943568.287
11.394	0	17.87	ok	1786943568.621
11.728	0	18.77	ok	1786943568.955
12.062	0	17.94	ok	1786943569.289
12.395	0	18.2	ok	1786943569.622
12.729	0	18.57	ok	1786943569.956
13.063	0	18.18	ok	1786943570.290
13.396	0	18.63	ok	1786943570.623
13.73	0	17.93	ok	1786943570.957
14.064	0	18.14	ok	1786943571.291
14.397	0	18.32	ok	1786943571.624
14.731	0	18.69	ok	1786943571.958
15.065	0	18.22	ok	1786943572.292
15.399	0	18.28	ok	1786943572.626
15.732	0	18.48	ok	1786943572.959
16.066	0	17.76	ok	1786943573.293
16.4	0	18.54	ok	1786943573.627
16.733	0	18.15	ok	1786943573.960
17.067	0	18.19	ok	1786943574.294
17.401	0	17.9	ok	1786943574.628
17.734	0	17.95	ok	1786943574.961
18.068	0	18.53	ok	1786943575.295
18.402	0	18.81	ok	1786943575.629
18.735	0	18.06	ok	1786943575.962
19.069	0	18.45	ok	1786943576.296
19.403	0	18.58	ok	1786943576.630
19.737	0	18.31	ok	1786943576.964
20.07	0	18.14	ok	1786943577.297
20.404	0	17.83	ok	1786943577.631
20.737	0	18.54	ok	1786943577.964
21.071	0	18.39	ok	1786943578.298
21.405	0	17.86	ok	1786943578.632
21.738	0	19.17	ok	1786943578.965
