t_rel	session	ms	outcome	t_abs
0.254	0	17.33	ok	1786943610.426
0.588	0	18.02	ok	1786943610.760
0.922	0	18.47	ok	1786943611.094
1.255	0	18.64	ok	1786943611.427
1.589	0	19.02	ok	1786943611.761
1.923	0	18.98	ok	1786943612.095
2.256	0	18.35	ok	1786943612.428
2.59	0	18.2	ok	1786943612.762
2.924	0	18.4	ok	1786943613.096
3.257	0	19.04	ok	1786943613.429
3.591	0	17.81	ok	1786943613.763
3.925	0	18.3	ok	1786943614.097
4.258	0	18.15	ok	1786943614.430
4.592	0	18.56	ok	1786943614.764
4.926	0	18.77	ok	1786943615.098
5.259	0	18.25	ok	1786943615.431
5.593	0	19.15	ok	1786943615.765
5.927	0	18.38	ok	1786943616.099
6.26	0	17.98	ok	1786943616.432
6.594	0	18.32	ok	1786943616.766
6.928	0	19.44	ok	1786943617.100
7.261	0	18.64	ok	1786943617.433
7.595	0	18.64	ok	1786943617.767
7.929	0	18.06	ok	1786943618.101
8.263	0	18.55	ok	1786943618.435
8.596	0	18.4	ok	1786943618.768
8.93	0	18.4	ok	1786943619.102
9.264	0	18.49	ok	1786943619.436
9.597	0	18.06	ok	1786943619.769
9.931	0	18.84	ok	1786943620.103
10.265	0	18.41	ok	1786943620.437
10.598	0	18.61	ok	1786943620.770
10.932	0	18.61	ok	1786943621.104
11.266	0	18.43	ok	1786943621.438
11.6	0	18.19	ok	1786943621.772
11.933	0	18.93	ok	1786943622.105
12.267	0	18.97	ok	1786943622.439
12.601	0	18.21	ok	1786943622.773
12.934	0	18.0	ok	1786943623.106
13.268	0	17.82	ok	1786943623.440
13.602	0	17.71	ok	1786943623.774
13.935	0	18.43	ok	1786943624.107
14.269	0	17.66	ok	1786943624.441
14.603	0	18.34	ok	1786943624.775
14.936	0	18.35	ok	1786943625.108
15.27	0	17.96	ok	1786943625.442
15.604	0	18.08	ok	1786943625.776
15.938	0	18.18	ok	1786943626.110
16.271	0	18.63	ok	1786943626.443
16.605	0	18.48	ok	1786943626.777
16.939	0	18.65	ok	1786943627.111
17.272	0	18.34	ok	1786943627.444
17.606	0	18.18	ok	1786943627.778
17.94	0	18.19	ok	1786943628.112
18.273	0	18.71	ok	1786943628.445
18.607	0	19.15	ok	1786943628.779
18.941	0	18.13	ok	1786943629.113
19.274	0	18.53	ok	1786943629.446
19.608	0	19.19	ok	1786943629.780
19.942	0	18.87	ok	1786943630.114
20.275	0	18.67	ok	1786943630.447
20.609	0	18.3	ok	1786943630.781
20.943	0	17.97	ok	1786943631.115
21.276	0	18.96	ok	1786943631.448
21.61	0	17.87	ok	1786943631.782
