tag	arm	sessions	req	rps	detect_pct	p50	p95	p99	window
B_discard_10	B	10	30	3.10	100.00	19.2	19.6	19.8	warm
B_anc1_10	B	10	30	3.10	100.00	18.9	24.8	24.9	warm
A_discard_5	A	5	29	3.10	100.00	19.0	19.9	20.2	warm
A_r1_5	A	5	30	3.10	100.00	18.2	18.7	18.8	warm
A_r1_10	A	10	30	3.10	100.00	18.1	18.8	19.1	warm
B_r1_5	B	5	29	3.10	100.00	18.1	18.9	19.0	warm
B_r1_10	B	10	30	3.10	100.00	18.3	18.8	19.5	warm
C_discard_5	C	5	30	3.10	100.00	18.3	18.8	19.2	warm
C_r1_5	C	5	29	3.10	100.00	18.4	19.0	19.4	warm
C_r1_10	C	10	30	3.10	100.00	18.4	18.8	19.3	warm
B_anc2_10	B	10	30	3.10	100.00	19.5	28.0	28.1	warm
B_lc2_t1_10	B	10	30	3.10	100.00	18.6	19.4	22.8	warm
B_lcF_t1_10	B	10	30	3.10	100.00	19.7	23.0	26.6	warm
