1786943245	shadowfit-ai	91.56%	917.8MiB / 19.53GiB
1786943245	shadowfit-backend	48.76%	762.2MiB / 30.82GiB
1786943245	shadowfit-mysql	4.98%	587.1MiB / 30.82GiB
1786943252	shadowfit-ai	33.22%	997.3MiB / 19.53GiB
1786943252	shadowfit-backend	0.42%	762.1MiB / 30.82GiB
1786943252	shadowfit-mysql	0.60%	587.1MiB / 30.82GiB
1786943260	shadowfit-ai	34.09%	1.006GiB / 19.53GiB
1786943260	shadowfit-backend	0.43%	762MiB / 30.82GiB
1786943260	shadowfit-mysql	0.64%	587.1MiB / 30.82GiB
1786943268	shadowfit-backend	0.50%	762.1MiB / 30.82GiB
1786943268	shadowfit-mysql	2.59%	587.6MiB / 30.82GiB
1786943268	--	0.00%	0B / 0B
