arm	round	sessions	req	rps	detect_pct	p50	p95	p99	nolease	nopose	setup_fail	warm_lo	warm_hi
A	discard	20	4797	59.97	100.00	21.6	29.4	35.7	0	0	0	1786871155.540	1786871235.534
A	r1	20	4800	60.07	100.00	24.4	35.8	39.3	0	0	0	1786871268.559	1786871348.461
A	r1	40	9595	119.96	100.00	24.2	37.1	46.6	0	0	0	1786871383.241	1786871463.225
A	r1	60	14384	179.84	100.00	25.9	42.9	69.3	0	0	0	1786871499.824	1786871579.807
A	r1	80	19172	239.66	100.00	31.2	60.4	106.8	0	0	0	1786871617.905	1786871697.902
A	r1	120	25256	315.70	100.00	373.1	437.9	456.4	0	0	0	1786871739.571	1786871819.570
A	r1	160	25179	314.84	100.00	498.8	574.8	593.0	0	0	0	1786871865.097	1786871945.071
B	discard	20	4798	60.05	100.00	22.9	35.3	38.8	0	0	0	1786872005.439	1786872085.338
B	r1	20	4798	60.01	100.00	22.4	36.7	40.2	0	0	0	1786872128.713	1786872208.665
B	r1	40	9590	119.91	100.00	23.1	34.5	40.4	0	0	0	1786872253.660	1786872333.639
B	r1	60	14382	179.83	100.00	25.5	39.2	69.6	0	0	0	1786872378.425	1786872458.401
B	r1	80	19180	239.88	100.00	36.6	80.2	122.6	0	0	0	1786872502.970	1786872582.928
B	r1	120	25178	314.74	100.00	374.2	439.5	461.7	0	0	0	1786872629.960	1786872709.955
B	r1	160	25052	313.17	100.00	502.8	570.0	590.7	0	0	0	1786872760.416	1786872840.410
C	discard	20	4799	60.02	100.00	22.9	35.5	42.1	0	0	0	1786872928.522	1786873008.474
C	r1	20	4797	60.01	100.00	22.4	33.7	38.3	0	0	0	1786873050.760	1786873130.695
C	r1	40	9587	119.90	100.00	24.2	35.8	40.2	0	0	0	1786873175.681	1786873255.636
C	r1	60	14387	179.85	100.00	27.1	41.3	65.7	0	0	0	1786873300.524	1786873380.517
C	r1	80	19178	239.75	100.00	34.3	67.8	106.5	0	0	0	1786873424.740	1786873504.731
C	r1	120	23266	290.83	100.00	408.0	473.6	504.6	0	0	0	1786873552.088	1786873632.087
C	r1	160	23263	290.80	100.00	545.1	611.2	637.5	0	0	0	1786873683.041	1786873763.037
B	r2	20	4794	59.97	100.00	22.0	33.0	38.9	0	0	0	1786873851.873	1786873931.811
B	r2	40	9594	119.97	100.00	24.1	36.4	43.1	0	0	0	1786873976.349	1786874056.319
B	r2	60	14376	179.76	100.00	29.9	50.7	88.0	0	0	0	1786874101.457	1786874181.431
B	r2	80	19179	239.85	100.00	38.9	92.6	125.2	0	0	0	1786874226.156	1786874306.120
B	r2	120	25309	316.38	100.00	372.2	435.8	452.1	0	0	0	1786874353.302	1786874433.297
B	r2	160	25363	317.05	100.00	495.7	564.6	583.3	0	0	0	1786874483.945	1786874563.943
C	r2	20	4800	60.05	100.00	22.5	33.2	37.5	0	0	0	1786874650.824	1786874730.752
C	r2	40	9584	119.87	100.00	26.7	42.0	71.1	0	0	0	1786874775.038	1786874854.989
C	r2	60	14388	179.87	100.00	31.5	47.8	85.7	0	0	0	1786874900.151	1786874980.143
C	r2	80	19176	239.73	100.00	33.0	61.9	107.5	0	0	0	1786875024.962	1786875104.952
C	r2	120	23349	291.89	100.00	407.2	462.3	486.6	0	0	0	1786875152.148	1786875232.140
C	r2	160	23264	290.83	100.00	545.3	608.9	635.0	0	0	0	1786875282.994	1786875362.987
A	r2	20	4797	60.03	100.00	21.3	29.5	34.8	0	0	0	1786875447.113	1786875527.022
A	r2	40	9588	119.87	100.00	24.5	36.3	44.3	0	0	0	1786875561.895	1786875641.882
