arm	round	sessions	count	ok	rps	p10	p25	p50	p75	p90	p95	p99	avg	fastest	slowest
B	r1	80	1899	1899	18.97	7.75	8.25	8.87	9.58	10.27	10.85	11.89	8.98	6.5	16.72
B	r2	80	1899	1899	18.93	7.81	8.38	9.12	9.96	10.86	11.67	13.37	9.28	6.34	29.61
B	r3	80	1899	1899	18.97	7.75	8.26	8.85	9.62	10.62	11.84	13.93	9.11	6.34	48.78
C	r1	80	1899	1899	18.99	7.63	8.09	8.71	9.43	10.23	10.95	12.21	8.88	6.37	37.83
C	r2	80	1899	1899	18.98	7.79	8.26	8.88	9.73	10.65	11.49	13.73	9.13	6.4	32.8
C	r3	80	1899	1899	18.98	7.82	8.34	8.98	9.78	10.68	11.61	13.32	9.2	6.2	55.95
B	r1	120	1899	1899	18.93	7.76	8.19	8.75	9.33	10.14	11.0	12.33	8.9	6.51	22.95
B	r2	120	1899	1899	18.99	7.8	8.27	8.81	9.35	10.07	10.95	12.24	8.94	5.9	29.52
B	r3	120	1899	1899	18.98	7.8	8.28	8.81	9.41	10.35	11.16	12.37	8.97	6.22	22.21
C	r1	120	1899	1899	18.98	7.68	8.09	8.71	9.31	10.12	10.92	12.22	8.86	5.96	60.97
C	r2	120	1899	1899	18.9	7.72	8.15	8.71	9.31	10.23	10.99	12.25	8.86	6.43	28.92
C	r3	120	1899	1899	18.99	7.68	8.16	8.77	9.39	10.2	10.99	12.94	8.94	4.83	51.37
B	r1	160	1899	1899	18.97	7.79	8.28	8.87	9.49	10.5	11.29	12.45	9.04	5.6	28.57
B	r2	160	1899	1899	18.99	7.78	8.24	8.79	9.38	10.31	11.14	12.5	8.96	6.16	32.05
B	r3	160	1899	1899	18.99	7.83	8.29	8.87	9.46	10.55	11.39	12.41	9.04	5.5	37.56
C	r1	160	1899	1899	18.99	7.76	8.22	8.77	9.42	10.47	11.21	12.39	9.0	6.11	34.58
C	r2	160	1899	1899	18.98	7.78	8.22	8.77	9.42	10.39	11.2	12.9	8.99	6.25	50.35
C	r3	160	1899	1899	18.99	7.72	8.18	8.73	9.33	10.31	11.03	12.41	8.96	6.42	71.52
