epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib
1786875790	3.2	2.4	0.0	0.21	471.9	7783.1
1786875795	7.6	7.0	0.0	0.19	476.9	7783.1
1786875800	14.0	12.6	0.0	0.17	477.7	7783.1
1786875805	14.0	12.4	0.0	0.24	477.9	7783.1
1786875810	12.5	12.6	0.0	0.38	478.1	7783.1
1786875815	13.4	12.2	0.0	0.35	478.4	7783.1
1786875820	11.3	12.2	0.0	0.32	478.9	7783.1
1786875825	12.7	12.2	0.0	0.30	479.1	7783.1
1786875830	13.2	12.2	0.0	0.27	479.4	7783.1
1786875835	12.7	12.4	0.0	0.25	482.3	7783.1
1786875840	10.9	12.0	0.0	0.23	483.3	7783.1
1786875845	13.0	12.4	0.0	0.21	483.5	7783.1
1786875850	10.3	12.0	0.0	0.19	483.5	7783.1
1786875855	10.9	12.4	0.0	0.18	484.0	7783.1
1786875860	12.5	12.2	0.0	0.16	484.5	7783.1
1786875865	11.5	12.2	0.0	0.15	484.8	7783.1
1786875870	14.0	12.4	0.0	0.14	485.8	7783.1
1786875875	10.7	12.4	0.0	0.13	486.0	7783.1
1786875880	14.0	12.6	0.0	0.12	486.5	7783.1
