epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib
1786871998	16.0	0.2	15.2	0.03	798.4	7783.1
1786872003	8.2	3.6	3.2	0.03	823.6	7783.1
1786872008	8.0	4.0	3.4	0.03	795.3	7783.1
1786872013	5.0	3.6	3.0	0.02	791.8	7783.1
1786872018	9.0	3.6	3.4	0.02	793.7	7783.1
1786872023	9.2	3.8	3.0	0.02	776.7	7783.1
1786872028	7.2	3.8	3.4	0.10	780.6	7783.1
1786872033	7.4	3.4	3.0	0.09	782.8	7783.1
1786872038	7.0	3.8	3.4	0.08	792.8	7783.1
1786872043	8.0	3.4	3.0	0.08	796.5	7783.1
1786872048	7.6	3.8	2.4	0.07	799.9	7783.1
1786872053	6.4	3.6	1.4	0.06	800.2	7783.1
1786872058	6.4	3.8	2.0	0.06	817.7	7783.1
1786872063	16.8	3.6	1.6	0.05	818.1	7783.1
1786872068	5.0	3.6	1.4	0.05	820.9	7783.1
1786872073	7.2	3.4	1.4	0.05	824.7	7783.1
1786872079	5.4	3.6	1.6	0.04	827.6	7783.1
1786872084	5.2	3.8	1.6	0.04	828.8	7783.1
1786872089	6.0	3.4	1.6	0.03	864.0	7783.1
1786872094	4.4	-65.8	1.8	0.03	856.8	7783.1
