epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib
1786874091	16.0	0.2	15.2	0.04	784.9	7783.1
1786874096	5.4	2.2	3.0	0.04	808.2	7783.1
1786874101	11.5	8.4	3.4	0.12	786.6	7783.1
1786874106	13.0	9.4	3.0	0.11	793.7	7783.1
1786874111	11.3	9.2	3.2	0.10	788.8	7783.1
1786874116	14.0	9.4	3.0	0.09	789.8	7783.1
1786874121	12.9	9.2	3.4	0.08	791.9	7783.1
1786874126	12.8	9.4	3.0	0.08	781.3	7783.1
1786874131	13.6	9.0	3.6	0.07	791.2	7783.1
1786874136	13.6	9.6	3.0	0.06	794.1	7783.1
1786874141	12.0	9.0	2.2	0.06	798.5	7783.1
1786874146	12.8	9.4	1.6	0.05	817.6	7783.1
1786874151	14.0	9.6	2.0	0.05	820.1	7783.1
1786874156	11.2	9.4	1.4	0.04	822.6	7783.1
1786874161	12.2	9.2	1.4	0.04	825.2	7783.1
1786874166	14.0	9.4	1.4	0.04	846.4	7783.1
1786874171	27.2	9.4	1.4	0.03	828.9	7783.1
1786874176	12.0	9.4	1.8	0.03	850.2	7783.1
1786874181	12.8	9.2	2.0	0.03	884.5	7783.1
1786874186	9.7	9.4	1.4	0.03	887.1	7783.1
