epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib
1786872921	17.0	0.2	15.2	0.07	798.7	7783.1
1786872926	6.6	3.2	3.2	0.07	825.6	7783.1
1786872931	8.2	3.6	3.2	0.06	777.3	7783.1
1786872936	8.4	3.8	3.2	0.06	789.1	7783.1
1786872941	7.4	3.4	3.4	0.05	786.4	7783.1
1786872946	7.8	3.8	2.8	0.05	778.2	7783.1
1786872951	11.2	3.8	3.6	0.04	789.7	7783.1
1786872956	9.2	3.6	2.8	0.04	791.0	7783.1
1786872961	7.8	3.6	3.6	0.04	789.2	7783.1
1786872966	24.0	3.6	3.2	0.03	795.3	7783.1
1786872971	7.2	3.8	2.2	0.03	786.5	7783.1
1786872976	6.2	3.6	2.2	0.03	807.3	7783.1
1786872981	7.6	3.6	1.4	0.02	812.9	7783.1
1786872986	4.2	3.6	1.4	0.02	816.4	7783.1
1786872991	8.2	3.8	1.4	0.02	806.7	7783.1
1786872996	7.8	3.8	1.4	0.18	810.6	7783.1
1786873001	7.2	3.8	1.6	0.16	820.2	7783.1
1786873006	6.4	3.4	1.6	0.15	850.2	7783.1
1786873011	5.8	3.8	2.0	0.14	877.3	7783.1
1786873016	5.0	-65.8	1.6	0.13	846.5	7783.1
