epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib
1786875136	15.8	0.0	14.8	0.19	786.9	7783.1
1786875141	5.4	2.6	3.2	0.17	817.7	7783.1
1786875146	6.2	1.8	3.4	0.16	776.0	7783.1
1786875151	13.3	10.2	3.0	0.15	792.2	7783.1
1786875156	20.9	15.6	3.6	0.13	798.3	7783.1
1786875161	21.0	15.6	3.0	0.12	801.2	7783.1
1786875166	20.5	15.4	3.2	0.27	792.4	7783.1
1786875171	17.6	15.4	3.0	0.33	797.5	7783.1
1786875176	19.3	15.6	3.6	0.31	809.8	7783.1
1786875181	16.4	15.4	3.0	0.28	815.1	7783.1
1786875186	15.2	15.4	2.2	0.26	819.0	7783.1
1786875191	13.4	15.6	1.4	0.24	837.7	7783.1
1786875197	18.7	15.6	1.6	0.22	859.6	7783.1
1786875202	49.5	44.2	1.8	0.20	898.2	7783.1
1786875207	51.4	46.6	2.2	0.18	925.4	7783.1
1786875212	46.5	46.2	1.4	0.25	930.8	7783.1
1786875217	34.8	29.0	1.4	0.31	934.2	7783.1
1786875222	18.8	19.0	1.4	0.29	937.7	7783.1
1786875227	18.1	16.0	1.4	0.26	930.2	7783.1
1786875232	20.3	17.0	1.4	0.32	936.0	7783.1
1786875237	36.8	16.0	-60.0	0.30	497.8	7783.1
