arm	n	discard	flush	sync_binlog	ms	rows	commit	log_write_req	log_writes	os_log_written	fsyncs	log_waits	binlog_cache	binlog_cache_disk	commits_s	batching	bytes_per_write	fsync_per_commit
A	0	1	1	1	32022	612	3238	9324	1597	1350144	526	0	692	0	101.1	5.84	845.4	0.1624
A	1	0	1	1	32796	1295	6414	9697	2691	1770496	1038	0	1479	0	195.6	3.6	657.9	0.1618
B	2	0	2	0	33206	32602	130556	163219	40809	29450752	178	0	32602	0	3931.7	4.0	721.7	0.0014
C	3	0	1	0	31341	2029	8255	10473	2964	2145792	1386	0	2029	0	263.4	3.53	724.0	0.1679
D	4	0	2	1	30904	2544	10316	13090	3701	2479616	102	0	2544	0	333.8	3.54	670.0	0.0099
B	5	0	2	0	31168	63530	254256	317373	110919	71973376	222	0	63530	0	8157.6	2.86	648.9	0.0009
C	6	0	1	0	31901	1700	6935	8830	2461	1763328	1144	0	1700	0	217.4	3.59	716.5	0.165
D	7	0	2	1	31459	2585	10476	13268	3672	2597888	107	0	2585	0	333.0	3.61	707.5	0.0102
A	8	0	1	1	32080	1514	6194	7911	2353	1591808	1210	0	1514	0	193.1	3.36	676.5	0.1954
C	9	0	1	0	31092	2569	10405	13224	3699	2614784	1700	0	2569	0	334.7	3.58	706.9	0.1634
D	10	0	2	1	31451	2871	11622	14689	3944	2757632	106	0	2871	0	369.5	3.72	699.2	0.0091
A	11	0	1	1	31296	2155	8754	11145	3250	2222592	1680	0	2155	0	279.7	3.43	683.9	0.1919
B	12	0	2	0	31185	69153	276741	345726	115728	76146176	257	0	69153	0	8874.2	2.99	658.0	0.0009
D	13	0	2	1	30776	2937	11878	15008	4068	2900480	111	0	2937	0	386.0	3.69	713.0	0.0093
A	14	0	1	1	30870	2018	8205	10448	3055	2068992	1563	0	2018	0	265.8	3.42	677.2	0.1905
B	15	0	2	0	31034	81668	326801	407947	142250	92281856	275	0	81668	0	10530.4	2.87	648.7	0.0008
C	16	0	1	0	30899	1832	7458	9508	2653	1892864	1221	0	1832	0	241.4	3.58	713.5	0.1637
