tag	rps	rows_s	p50_ms	p95_ms	p99_ms	fail	total	commits	fsyncs	fsync_s	log_bytes	log_write_req	log_writes	batch_factor	bytes_per_write	log_waits	binlog_use	binlog_disk_use
A_r1	1035.8	5179.0	65	94	109	0	20000	40081	20	1.0	10752	20	21	0.952	512.0	0	0	0
B_r1	1035.3	5176.5	59	93	109	0	20000	40080	21	1.1	11264	21	22	0.955	512.0	0	0	0
C_r1	1039.1	5195.5	54	91	105	0	20000	40080	21	1.1	11264	21	22	0.955	512.0	0	0	0
D_r1	1041.3	5206.5	56	92	110	0	20000	40085	21	1.1	10752	21	21	1.0	512.0	0	0	0
B_r2	1041.8	5209.0	58	93	105	0	20000	40084	21	1.1	11264	22	22	1.0	512.0	0	0	0
C_r2	1034.0	5170.0	56	93	108	0	20000	40080	20	1.0	10240	20	20	1.0	512.0	0	0	0
D_r2	1043.2	5216.0	64	93	107	0	20000	40085	21	1.1	10752	21	21	1.0	512.0	0	0	0
A_r2	1043.5	5217.5	64	93	108	0	20000	40080	30	1.6	11776	22	23	0.957	512.0	0	0	0
C_r3	1034.3	5171.5	59	93	106	0	20000	40080	36	1.8	10752	20	21	0.952	512.0	0	0	0
D_r3	1042.6	5213.0	58	92	109	0	20000	40081	21	1.1	11264	21	22	0.955	512.0	0	0	0
A_r3	1039.6	5198.0	58	92	106	0	20000	40084	21	1.1	10752	21	21	1.0	512.0	0	0	0
B_r3	1039.3	5196.5	62	93	107	0	20000	40084	20	1.0	10240	21	20	1.05	512.0	0	0	0
D_r4	1034.1	5170.5	53	91	107	0	20000	40081	21	1.1	10752	21	21	1.0	512.0	0	0	0
A_r4	1039.5	5197.5	65	94	107	0	20000	40080	21	1.1	10752	21	21	1.0	512.0	0	0	0
B_r4	1043.1	5215.5	65	94	111	0	20000	40084	22	1.2	11776	23	23	1.0	512.0	0	0	0
C_r4	1042.6	5213.0	60	92	107	0	20000	40081	20	1.0	10752	20	21	0.952	512.0	0	0	0
