t_rel	session	ms	outcome	t_abs
1.859	1	94.0	ok	1788018210.432
1.937	0	78.0	fail:유입 속도 상한 초과 — 분석 스킵	1788018210.510
1.953	2	78.0	ok	1788018210.526
2.187	1	63.0	ok	1788018210.760
2.265	0	79.0	ok	1788018210.838
2.297	2	109.0	ok	1788018210.870
2.515	1	157.0	ok	1788018211.088
2.609	0	110.0	ok	1788018211.182
2.64	2	157.0	ok	1788018211.213
2.844	1	78.0	ok	1788018211.417
2.953	0	47.0	fail:유입 속도 상한 초과 — 분석 스킵	1788018211.526
2.969	2	62.0	ok	1788018211.542
3.187	1	47.0	ok	1788018211.760
3.281	0	78.0	ok	1788018211.854
3.312	2	63.0	ok	1788018211.885
3.531	1	47.0	ok	1788018212.104
3.64	2	63.0	ok	1788018212.213
3.609	0	110.0	ok	1788018212.182
3.875	1	62.0	ok	1788018212.448
3.953	0	47.0	ok	1788018212.526
3.984	2	63.0	ok	1788018212.557
4.219	1	46.0	ok	1788018212.792
4.281	0	63.0	ok	1788018212.854
4.312	2	47.0	ok	1788018212.885
4.562	1	32.0	ok	1788018213.135
4.625	0	47.0	ok	1788018213.198
4.656	2	47.0	ok	1788018213.229
4.906	1	63.0	ok	1788018213.479
4.953	0	78.0	ok	1788018213.526
4.984	2	78.0	ok	1788018213.557
5.234	1	31.0	ok	1788018213.807
5.281	0	78.0	ok	1788018213.854
5.312	2	63.0	ok	1788018213.885
5.578	1	47.0	ok	1788018214.151
5.609	0	78.0	ok	1788018214.182
5.64	2	79.0	ok	1788018214.213
5.922	1	47.0	ok	1788018214.495
5.937	0	47.0	ok	1788018214.510
5.984	2	63.0	ok	1788018214.557
6.25	1	94.0	ok	1788018214.823
6.281	0	94.0	ok	1788018214.854
6.312	2	63.0	ok	1788018214.885
6.594	1	46.0	ok	1788018215.167
6.609	0	63.0	ok	1788018215.182
6.64	2	79.0	ok	1788018215.213
6.922	1	125.0	ok	1788018215.495
6.953	0	109.0	ok	1788018215.526
6.969	2	93.0	ok	1788018215.542
7.25	1	47.0	ok	1788018215.823
7.281	0	78.0	ok	1788018215.854
7.312	2	63.0	ok	1788018215.885
7.594	1	78.0	ok	1788018216.167
7.609	0	110.0	ok	1788018216.182
7.64	2	94.0	ok	1788018216.213
7.953	0	78.0	ok	1788018216.526
7.937	1	110.0	ok	1788018216.510
7.969	2	93.0	ok	1788018216.542
8.265	1	110.0	ok	1788018216.838
8.297	0	109.0	ok	1788018216.870
8.312	2	110.0	ok	1788018216.885
8.594	1	125.0	ok	1788018217.167
8.625	0	94.0	ok	1788018217.198
8.64	2	125.0	ok	1788018217.213
8.984	2	125.0	ok	1788018217.557
8.984	0	172.0	ok	1788018217.557
8.984	1	172.0	ok	1788018217.557
9.328	2	94.0	ok	1788018217.901
9.312	0	125.0	fail:유입 속도 상한 초과 — 분석 스킵	1788018217.885
9.328	1	125.0	ok	1788018217.901
9.64	0	79.0	ok	1788018218.213
9.672	2	78.0	ok	1788018218.245
9.656	1	94.0	ok	1788018218.229
9.984	0	110.0	ok	1788018218.557
10.0	2	109.0	ok	1788018218.573
9.984	1	141.0	ok	1788018218.557
10.344	2	500.0	ok	1788018218.917
10.312	1	547.0	ok	1788018218.885
10.312	0	547.0	ok	1788018218.885
10.844	2	109.0	ok	1788018219.417
10.859	1	94.0	ok	1788018219.432
10.859	0	110.0	ok	1788018219.432
11.172	2	78.0	ok	1788018219.745
11.187	0	78.0	ok	1788018219.760
11.187	1	94.0	ok	1788018219.760
11.515	2	79.0	ok	1788018220.088
11.531	0	94.0	ok	1788018220.104
11.515	1	125.0	ok	1788018220.088
11.844	2	62.0	ok	1788018220.417
11.844	1	78.0	ok	1788018220.417
11.859	0	78.0	ok	1788018220.432
12.172	2	62.0	ok	1788018220.745
12.187	1	78.0	ok	1788018220.760
12.203	0	78.0	ok	1788018220.776
12.531	1	188.0	ok	1788018221.104
12.5	2	234.0	ok	1788018221.073
12.531	0	281.0	ok	1788018221.104
12.844	2	109.0	ok	1788018221.417
12.859	0	110.0	ok	1788018221.432
12.875	1	109.0	ok	1788018221.448
13.172	2	156.0	ok	1788018221.745
13.187	0	157.0	ok	1788018221.760
13.203	1	156.0	ok	1788018221.776
13.5	2	78.0	ok	1788018222.073
13.515	0	110.0	ok	1788018222.088
13.531	1	141.0	ok	1788018222.104
13.844	2	109.0	ok	1788018222.417
13.859	1	125.0	ok	1788018222.432
13.844	0	156.0	ok	1788018222.417
14.172	0	78.0	ok	1788018222.745
14.187	1	78.0	ok	1788018222.760
14.187	2	94.0	ok	1788018222.760
14.531	1	78.0	ok	1788018223.104
14.515	0	125.0	ok	1788018223.088
14.515	2	125.0	ok	1788018223.088
14.844	0	109.0	ok	1788018223.417
14.875	1	109.0	ok	1788018223.448
14.859	2	141.0	ok	1788018223.432
15.172	0	62.0	ok	1788018223.745
15.187	2	63.0	ok	1788018223.760
15.219	1	62.0	ok	1788018223.792
15.5	0	78.0	ok	1788018224.073
15.531	2	63.0	ok	1788018224.104
15.547	1	62.0	ok	1788018224.120
15.828	0	78.0	ok	1788018224.401
15.859	2	78.0	ok	1788018224.432
15.875	1	78.0	ok	1788018224.448
16.172	0	47.0	ok	1788018224.745
16.187	2	78.0	ok	1788018224.760
16.203	1	62.0	ok	1788018224.776
16.515	0	63.0	ok	1788018225.088
16.531	2	94.0	ok	1788018225.104
16.547	1	78.0	ok	1788018225.120
16.844	0	78.0	ok	1788018225.417
16.859	2	78.0	ok	1788018225.432
16.875	1	78.0	ok	1788018225.448
17.172	0	78.0	ok	1788018225.745
17.187	2	78.0	ok	1788018225.760
17.219	1	62.0	ok	1788018225.792
17.5	0	62.0	ok	1788018226.073
17.515	2	79.0	ok	1788018226.088
17.562	1	63.0	ok	1788018226.135
17.844	2	62.0	ok	1788018226.417
17.844	0	62.0	ok	1788018226.417
17.89	1	63.0	ok	1788018226.463
18.172	2	406.0	ok	1788018226.745
18.187	0	453.0	ok	1788018226.760
18.578	2	62.0	ok	1788018227.151
18.219	1	437.0	ok	1788018226.792
18.64	0	79.0	ok	1788018227.213
18.656	1	78.0	ok	1788018227.229
18.922	2	31.0	ok	1788018227.495
18.984	0	63.0	ok	1788018227.557
18.984	1	78.0	ok	1788018227.557
19.265	2	47.0	ok	1788018227.838
19.312	1	47.0	ok	1788018227.885
19.312	0	63.0	ok	1788018227.885
19.594	2	31.0	ok	1788018228.167
19.64	0	47.0	ok	1788018228.213
19.656	1	47.0	ok	1788018228.229
19.937	2	32.0	ok	1788018228.510
19.984	0	47.0	ok	1788018228.557
19.984	1	63.0	ok	1788018228.557
20.265	2	79.0	ok	1788018228.838
20.312	0	63.0	ok	1788018228.885
20.312	1	63.0	ok	1788018228.885
20.609	2	31.0	ok	1788018229.182
20.656	1	47.0	ok	1788018229.229
20.64	0	79.0	ok	1788018229.213
20.937	2	47.0	ok	1788018229.510
20.969	0	62.0	ok	1788018229.542
20.984	1	63.0	ok	1788018229.557
21.265	2	32.0	ok	1788018229.838
21.312	1	47.0	ok	1788018229.885
21.297	0	78.0	ok	1788018229.870
21.594	2	62.0	ok	1788018230.167
21.625	0	47.0	ok	1788018230.198
21.64	1	63.0	ok	1788018230.213
21.922	2	47.0	ok	1788018230.495
21.953	0	47.0	ok	1788018230.526
21.969	1	62.0	ok	1788018230.542
22.25	2	47.0	ok	1788018230.823
22.281	0	63.0	ok	1788018230.854
22.297	1	47.0	ok	1788018230.870
