t_rel	session	ms	outcome	t_abs
2.329	0	156.0	ok	1788018365.545
2.485	1	140.0	fail:유입 속도 상한 초과 — 분석 스킵	1788018365.701
2.594	2	125.0	ok	1788018365.810
2.657	0	78.0	ok	1788018365.873
2.813	1	78.0	ok	1788018366.029
2.922	2	110.0	ok	1788018366.138
3.0	0	141.0	ok	1788018366.216
3.141	1	78.0	ok	1788018366.357
3.25	2	79.0	ok	1788018366.466
3.344	0	110.0	ok	1788018366.560
3.469	1	156.0	ok	1788018366.685
3.579	2	78.0	ok	1788018366.795
3.672	0	63.0	ok	1788018366.888
3.797	1	78.0	ok	1788018367.013
3.907	2	78.0	ok	1788018367.123
4.0	0	63.0	ok	1788018367.216
4.125	1	79.0	ok	1788018367.341
4.235	2	78.0	ok	1788018367.451
4.344	0	78.0	ok	1788018367.560
4.454	1	78.0	ok	1788018367.670
4.563	2	109.0	ok	1788018367.779
4.672	0	78.0	ok	1788018367.888
4.782	1	62.0	ok	1788018367.998
4.907	2	78.0	ok	1788018368.123
5.016	0	78.0	ok	1788018368.232
5.11	1	78.0	ok	1788018368.326
5.235	2	140.0	ok	1788018368.451
5.344	0	141.0	ok	1788018368.560
5.438	1	156.0	ok	1788018368.654
5.563	2	172.0	ok	1788018368.779
5.688	0	141.0	ok	1788018368.904
5.766	1	78.0	ok	1788018368.982
5.891	2	78.0	ok	1788018369.107
6.032	0	47.0	ok	1788018369.248
6.094	1	78.0	ok	1788018369.310
6.235	2	62.0	ok	1788018369.451
6.375	0	63.0	ok	1788018369.591
6.438	1	62.0	ok	1788018369.654
6.579	2	78.0	ok	1788018369.795
6.704	0	78.0	ok	1788018369.920
6.766	1	78.0	ok	1788018369.982
6.907	2	62.0	ok	1788018370.123
7.032	0	62.0	ok	1788018370.248
7.094	1	78.0	ok	1788018370.310
7.25	2	63.0	ok	1788018370.466
7.375	0	63.0	ok	1788018370.591
7.422	1	47.0	ok	1788018370.638
7.579	2	46.0	ok	1788018370.795
7.704	0	46.0	ok	1788018370.920
7.75	1	47.0	ok	1788018370.966
7.922	2	47.0	ok	1788018371.138
8.047	0	125.0	ok	1788018371.263
8.079	1	125.0	ok	1788018371.295
8.25	2	79.0	ok	1788018371.466
8.375	0	94.0	ok	1788018371.591
8.407	1	93.0	ok	1788018371.623
8.594	2	94.0	ok	1788018371.810
8.704	0	109.0	ok	1788018371.920
8.735	1	156.0	ok	1788018371.951
8.922	2	110.0	ok	1788018372.138
9.047	0	141.0	ok	1788018372.263
9.079	1	140.0	ok	1788018372.295
9.25	2	110.0	ok	1788018372.466
9.375	0	110.0	ok	1788018372.591
9.407	1	93.0	ok	1788018372.623
9.579	2	93.0	ok	1788018372.795
9.704	0	93.0	ok	1788018372.920
9.735	1	78.0	ok	1788018372.951
9.922	2	47.0	ok	1788018373.138
10.032	0	140.0	ok	1788018373.248
10.063	1	172.0	ok	1788018373.279
10.266	2	203.0	ok	1788018373.482
10.407	1	172.0	ok	1788018373.623
10.36	0	234.0	ok	1788018373.576
10.61	2	62.0	ok	1788018373.826
10.735	1	1656.0	ok	1788018373.951
10.704	0	1703.0	ok	1788018373.920
10.938	2	1500.0	ok	1788018374.154
12.391	1	234.0	ok	1788018375.607
12.407	0	218.0	ok	1788018375.623
12.438	2	219.0	ok	1788018375.654
12.719	1	110.0	fail:유입 속도 상한 초과 — 분석 스킵	1788018375.935
12.735	0	140.0	ok	1788018375.951
12.766	2	109.0	ok	1788018375.982
13.063	0	109.0	ok	1788018376.279
13.11	2	94.0	ok	1788018376.326
13.047	1	188.0	ok	1788018376.263
13.438	2	141.0	ok	1788018376.654
13.391	1	203.0	ok	1788018376.607
13.407	0	203.0	ok	1788018376.623
13.735	1	125.0	ok	1788018376.951
13.735	0	156.0	ok	1788018376.951
13.766	2	172.0	ok	1788018376.982
14.079	0	93.0	ok	1788018377.295
14.063	1	125.0	ok	1788018377.279
14.11	2	140.0	ok	1788018377.326
14.391	1	172.0	ok	1788018377.607
14.454	2	203.0	ok	1788018377.670
14.422	0	235.0	ok	1788018377.638
14.735	1	62.0	ok	1788018377.951
14.75	0	79.0	ok	1788018377.966
14.782	2	62.0	ok	1788018377.998
15.063	1	47.0	ok	1788018378.279
15.079	0	62.0	ok	1788018378.295
15.125	2	47.0	ok	1788018378.341
15.407	0	62.0	ok	1788018378.623
15.391	1	78.0	ok	1788018378.607
15.454	2	78.0	ok	1788018378.670
15.735	1	47.0	ok	1788018378.951
15.75	0	47.0	ok	1788018378.966
15.782	2	62.0	ok	1788018378.998
16.079	1	31.0	ok	1788018379.295
16.11	2	62.0	ok	1788018379.326
16.094	0	94.0	ok	1788018379.310
16.422	0	78.0	ok	1788018379.638
16.407	1	93.0	ok	1788018379.623
16.454	2	62.0	ok	1788018379.670
16.75	1	32.0	ok	1788018379.966
16.75	0	94.0	ok	1788018379.966
16.782	2	78.0	ok	1788018379.998
17.079	0	46.0	ok	1788018380.295
17.094	1	78.0	ok	1788018380.310
17.11	2	62.0	ok	1788018380.326
17.422	0	141.0	ok	1788018380.638
17.454	2	125.0	ok	1788018380.670
17.422	1	203.0	ok	1788018380.638
17.75	0	47.0	ok	1788018380.966
17.766	1	78.0	ok	1788018380.982
17.797	2	63.0	ok	1788018381.013
18.079	0	93.0	ok	1788018381.295
18.125	1	157.0	ok	1788018381.341
18.141	2	156.0	ok	1788018381.357
18.469	1	172.0	fail:유입 속도 상한 초과 — 분석 스킵	1788018381.685
18.422	0	219.0	ok	1788018381.638
18.485	2	234.0	ok	1788018381.701
18.766	0	141.0	ok	1788018381.982
18.891	2	94.0	ok	1788018382.107
18.891	1	156.0	ok	1788018382.107
19.11	0	219.0	ok	1788018382.326
19.235	2	234.0	ok	1788018382.451
19.219	1	266.0	ok	1788018382.435
19.438	0	172.0	ok	1788018382.654
19.547	1	188.0	ok	1788018382.763
19.563	2	234.0	ok	1788018382.779
19.766	0	1500.0	ok	1788018382.982
21.266	0	125.0	ok	1788018384.482
19.891	1	1688.0	ok	1788018383.107
21.579	1	203.0	ok	1788018384.795
19.891	2	1906.0	ok	1788018383.107
21.594	0	406.0	ok	1788018384.810
21.797	2	297.0	ok	1788018385.013
21.907	1	343.0	ok	1788018385.123
22.0	0	297.0	ok	1788018385.216
22.141	2	313.0	ok	1788018385.357
22.329	0	343.0	ok	1788018385.545
22.25	1	485.0	ok	1788018385.466
22.469	2	360.0	ok	1788018385.685
22.672	0	203.0	ok	1788018385.888
22.735	1	344.0	ok	1788018385.951
22.829	2	265.0	ok	1788018386.045
23.016	0	406.0	ok	1788018386.232
23.172	2	313.0	ok	1788018386.388
23.079	1	421.0	ok	1788018386.295
23.5	2	297.0	ok	1788018386.716
23.5	1	360.0	ok	1788018386.716
23.86	1	422.0	ok	1788018387.076
23.844	2	547.0	ok	1788018387.060
23.422	0	1000.0	ok	1788018386.638
24.422	0	344.0	ok	1788018387.638
24.282	1	500.0	ok	1788018387.498
24.391	2	422.0	ok	1788018387.607
24.766	0	344.0	ok	1788018387.982
24.813	2	406.0	ok	1788018388.029
24.782	1	453.0	ok	1788018387.998
25.11	0	344.0	ok	1788018388.326
25.235	1	375.0	ok	1788018388.451
25.219	2	406.0	ok	1788018388.435
25.454	0	640.0	ok	1788018388.670
25.61	1	500.0	ok	1788018388.826
25.625	2	750.0	ok	1788018388.841
26.094	0	297.0	ok	1788018389.310
26.11	1	375.0	ok	1788018389.326
26.375	2	313.0	ok	1788018389.591
26.485	1	203.0	ok	1788018389.701
26.422	0	266.0	ok	1788018389.638
26.704	2	78.0	ok	1788018389.920
26.766	0	63.0	ok	1788018389.982
26.813	1	94.0	ok	1788018390.029
27.047	2	47.0	ok	1788018390.263
27.11	0	78.0	ok	1788018390.326
27.141	1	94.0	ok	1788018390.357
27.375	2	47.0	ok	1788018390.591
27.438	0	47.0	ok	1788018390.654
27.469	1	47.0	ok	1788018390.685
27.704	2	62.0	ok	1788018390.920
27.782	0	78.0	ok	1788018390.998
27.797	1	78.0	ok	1788018391.013
28.047	2	63.0	ok	1788018391.263
28.125	0	47.0	ok	1788018391.341
28.125	1	63.0	ok	1788018391.341
28.375	2	63.0	ok	1788018391.591
28.454	1	78.0	ok	1788018391.670
28.469	0	78.0	ok	1788018391.685
28.704	2	78.0	ok	1788018391.920
28.782	1	109.0	ok	1788018391.998
28.797	0	157.0	ok	1788018392.013
29.032	2	187.0	ok	1788018392.248
29.125	1	219.0	ok	1788018392.341
29.125	0	344.0	ok	1788018392.341
29.36	2	312.0	ok	1788018392.576
29.469	1	203.0	fail:유입 속도 상한 초과 — 분석 스킵	1788018392.685
29.469	0	375.0	fail:유입 속도 상한 초과 — 분석 스킵	1788018392.685
29.688	2	1484.0	ok	1788018392.904
29.813	1	1547.0	ok	1788018393.029
29.844	0	1610.0	ok	1788018393.060
