t_rel	session	ms	outcome	t_abs
1.74	2	210.82	ok	1788022062.291
1.937	19	98.62	ok	1788022062.488
1.731	8	308.97	ok	1788022062.282
1.742	28	299.94	ok	1788022062.293
1.75	41	401.74	ok	1788022062.301
1.737	14	414.97	ok	1788022062.288
1.849	12	394.81	ok	1788022062.400
1.742	34	502.42	ok	1788022062.293
1.848	43	397.11	ok	1788022062.399
1.951	5	296.12	ok	1788022062.502
1.736	13	602.27	ok	1788022062.287
1.737	11	603.17	ok	1788022062.288
1.738	39	606.04	ok	1788022062.289
2.075	28	278.04	ok	1788022062.626
2.05	6	304.48	ok	1788022062.601
1.94	1	503.94	ok	1788022062.491
1.736	46	708.29	ok	1788022062.287
1.938	26	506.7	ok	1788022062.489
2.152	41	298.48	ok	1788022062.703
2.051	33	485.96	ok	1788022062.602
2.233	7	312.34	ok	1788022062.784
1.633	9	913.89	ok	1788022062.184
2.074	2	475.27	ok	1788022062.625
2.153	45	397.1	ok	1788022062.704
2.243	22	308.37	ok	1788022062.794
2.27	19	366.14	ok	1788022062.821
2.244	12	393.04	ok	1788022062.795
2.243	21	404.69	ok	1788022062.794
2.251	10	400.63	ok	1788022062.802
2.284	5	453.04	ok	1788022062.835
2.245	34	492.62	ok	1788022062.796
1.945	37	793.65	ok	1788022062.496
2.04	48	699.15	ok	1788022062.591
2.244	49	495.82	ok	1788022062.795
2.132	47	608.23	ok	1788022062.683
2.246	40	501.89	ok	1788022062.797
2.544	38	203.94	ok	1788022063.095
2.04	50	708.5	ok	1788022062.591
2.251	29	497.92	ok	1788022062.802
2.341	30	411.12	ok	1788022062.892
2.383	6	369.1	ok	1788022062.934
2.354	44	399.86	ok	1788022062.905
2.245	43	508.81	ok	1788022062.796
2.133	20	699.55	ok	1788022062.684
2.344	39	488.77	ok	1788022062.895
2.339	0	494.25	ok	1788022062.890
2.064	8	769.38	ok	1788022062.615
2.544	51	295.47	ok	1788022063.095
2.543	3	306.95	ok	1788022063.094
2.34	11	510.54	ok	1788022062.891
2.339	13	594.33	ok	1788022062.890
2.445	16	491.14	ok	1788022062.996
2.547	9	390.15	ok	1788022063.098
2.445	26	493.33	ok	1788022062.996
2.444	1	495.01	ok	1788022062.995
2.444	46	494.85	ok	1788022062.995
2.544	15	398.03	ok	1788022063.095
2.452	18	490.5	ok	1788022063.003
2.576	22	366.05	ok	1788022063.127
2.444	23	498.74	ok	1788022062.995
2.543	24	400.57	ok	1788022063.094
2.452	4	494.61	ok	1788022063.003
2.566	7	380.71	ok	1788022063.117
2.652	10	297.15	ok	1788022063.203
2.447	27	505.15	ok	1788022062.998
2.647	21	306.18	ok	1788022063.198
2.749	29	289.61	ok	1788022063.300
2.739	37	300.19	ok	1788022063.290
2.743	31	304.82	ok	1788022063.294
2.748	40	387.43	ok	1788022063.299
2.832	20	303.22	ok	1788022063.383
2.752	30	387.16	ok	1788022063.303
2.448	52	692.81	ok	1788022062.999
2.748	50	393.61	ok	1788022063.299
2.74	47	403.32	ok	1788022063.291
2.152	14	992.81	ok	1788022062.703
