t_rel	session	ms	outcome	t_abs
2.247	8	414.2	ok	1788022233.281
2.26	17	402.92	ok	1788022233.294
2.051	4	698.99	ok	1788022233.085
2.147	16	613.17	ok	1788022233.181
2.365	15	497.67	ok	1788022233.399
2.668	41	285.2	ok	1788022233.702
2.359	25	594.54	ok	1788022233.393
2.667	40	291.11	ok	1788022233.701
2.449	45	518.3	ok	1788022233.483
2.449	44	519.21	ok	1788022233.483
2.852	23	120.22	ok	1788022233.886
2.365	7	686.83	ok	1788022233.399
2.57	13	494.23	ok	1788022233.604
2.57	52	495.61	ok	1788022233.604
2.359	47	707.26	ok	1788022233.393
2.569	26	497.26	ok	1788022233.603
2.447	0	619.91	ok	1788022233.481
2.457	20	611.81	ok	1788022233.491
2.756	19	313.34	ok	1788022233.790
2.661	28	488.55	ok	1788022233.695
2.666	18	484.4	ok	1788022233.700
2.751	49	404.71	ok	1788022233.785
2.668	6	489.0	ok	1788022233.702
2.667	9	490.51	ok	1788022233.701
2.662	1	495.95	ok	1788022233.696
2.662	8	497.03	ok	1788022233.696
2.76	16	398.57	ok	1788022233.794
2.665	36	494.94	ok	1788022233.699
2.663	34	497.09	ok	1788022233.697
2.663	17	497.69	ok	1788022233.697
2.665	2	495.22	ok	1788022233.699
2.665	37	496.49	ok	1788022233.699
2.75	4	417.64	ok	1788022233.784
2.666	24	501.93	ok	1788022233.700
2.85	14	318.47	ok	1788022233.884
2.863	15	305.96	ok	1788022233.897
2.864	5	305.23	ok	1788022233.898
2.865	46	306.75	ok	1788022233.899
2.864	35	307.91	ok	1788022233.898
2.953	51	293.7	ok	1788022233.987
2.954	25	293.93	ok	1788022233.988
2.959	31	289.48	ok	1788022233.993
3.001	41	255.59	ok	1788022234.035
3.001	40	256.74	ok	1788022234.035
2.863	22	395.49	ok	1788022233.897
2.968	45	296.74	ok	1788022234.002
2.967	29	300.29	ok	1788022234.001
3.055	11	215.28	ok	1788022234.089
3.049	50	306.08	ok	1788022234.083
3.068	10	289.82	ok	1788022234.102
2.968	44	390.55	ok	1788022234.002
3.048	3	320.58	ok	1788022234.082
3.052	32	316.05	ok	1788022234.086
3.052	48	317.27	ok	1788022234.086
3.052	7	317.12	ok	1788022234.086
3.064	12	383.64	ok	1788022234.098
3.065	21	386.0	ok	1788022234.099
2.967	33	488.83	ok	1788022234.001
3.066	52	391.28	ok	1788022234.100
3.067	26	392.02	ok	1788022234.101
3.066	47	395.71	ok	1788022234.100
3.198	46	264.47	fail:유입 속도 상한 초과 — 분석 스킵	1788022234.232
3.159	16	303.96	ok	1788022234.193
3.149	28	316.18	ok	1788022234.183
3.149	27	317.06	ok	1788022234.183
3.053	43	413.07	ok	1788022234.087
3.068	39	398.16	ok	1788022234.102
3.068	42	400.01	ok	1788022234.102
3.064	13	488.68	ok	1788022234.098
3.065	38	492.16	ok	1788022234.099
3.16	34	398.66	ok	1788022234.194
3.159	8	405.75	ok	1788022234.193
3.197	5	369.21	fail:유입 속도 상한 초과 — 분석 스킵	1788022234.231
3.069	20	578.95	ok	1788022234.103
3.186	23	461.94	ok	1788022234.220
3.067	0	581.44	ok	1788022234.101
3.183	14	465.41	ok	1788022234.217
3.156	49	493.66	ok	1788022234.190
3.168	4	484.71	ok	1788022234.202
3.168	24	484.53	ok	1788022234.202
3.158	1	494.82	ok	1788022234.192
3.089	19	565.49	ok	1788022234.123
3.287	51	368.36	ok	1788022234.321
3.16	17	503.89	ok	1788022234.194
3.162	37	503.07	ok	1788022234.196
3.157	6	509.77	ok	1788022234.191
3.335	41	331.96	ok	1788022234.369
