epoch,restart_count,status,health,oom_killed,mem_pct,cpu_pct,in_progress_sessions
START 2026-08-29T17:04:24Z base_restart_count=0 interval=10s duration=1500s tail=300s
1788023064,0,running,healthy,false,3.67%,0.33%,0
1788023076,0,running,healthy,false,3.67%,0.31%,0
1788023087,0,running,healthy,false,3.67%,0.34%,0
1788023099,0,running,healthy,false,3.67%,0.31%,0
1788023111,0,running,healthy,false,3.67%,0.33%,0
1788023122,0,running,healthy,false,3.67%,0.31%,0
1788023134,0,running,healthy,false,3.67%,6.60%,0
1788023146,0,running,healthy,false,3.67%,0.30%,0
1788023157,0,running,healthy,false,3.67%,0.31%,0
1788023169,0,running,healthy,false,3.67%,0.31%,0
1788023181,0,running,healthy,false,3.67%,0.32%,0
1788023192,0,running,healthy,false,3.67%,0.31%,0
1788023204,0,running,healthy,false,3.67%,0.31%,0
1788023216,0,running,healthy,false,3.67%,0.31%,0
1788023227,0,running,healthy,false,3.67%,0.31%,0
1788023239,0,running,healthy,false,3.67%,0.36%,0
1788023251,0,running,healthy,false,3.67%,0.31%,0
1788023262,0,running,healthy,false,3.67%,0.31%,0
1788023274,0,running,healthy,false,3.67%,0.31%,0
1788023285,0,running,healthy,false,3.67%,6.50%,0
1788023297,0,running,healthy,false,3.67%,0.30%,0
1788023309,0,running,healthy,false,3.67%,0.31%,0
1788023320,0,running,healthy,false,3.67%,0.31%,0
1788023332,0,running,healthy,false,3.67%,0.31%,0
1788023344,0,running,healthy,false,3.67%,0.29%,0
1788023355,0,running,healthy,false,3.67%,0.30%,0
1788023367,0,running,healthy,false,3.67%,6.51%,0
1788023379,0,running,healthy,false,3.67%,0.31%,0
1788023390,0,running,healthy,false,3.67%,0.32%,0
1788023402,0,running,healthy,false,3.67%,0.31%,0
1788023414,0,running,healthy,false,3.67%,0.33%,0
1788023425,0,running,healthy,false,3.67%,0.32%,0
1788023437,0,running,healthy,false,3.67%,0.32%,0
1788023449,0,running,healthy,false,3.67%,0.31%,0
1788023460,0,running,healthy,false,3.67%,0.30%,0
1788023472,0,running,healthy,false,3.67%,0.32%,0
1788023484,0,running,healthy,false,3.67%,0.30%,0
1788023496,0,running,healthy,false,3.67%,0.31%,0
1788023507,0,running,healthy,false,3.67%,0.31%,0
1788023519,0,running,healthy,false,3.67%,6.51%,0
1788023531,0,running,healthy,false,3.67%,0.30%,0
1788023542,0,running,healthy,false,3.67%,0.29%,0
1788023554,0,running,healthy,false,3.67%,0.30%,0
1788023566,0,running,healthy,false,3.67%,0.35%,0
1788023577,0,running,healthy,false,3.67%,0.31%,0
1788023589,0,running,healthy,false,3.67%,0.31%,0
1788023600,0,running,healthy,false,3.67%,6.57%,0
1788023612,0,running,healthy,false,3.67%,0.30%,0
1788023624,0,running,healthy,false,3.67%,0.31%,0
1788023635,0,running,healthy,false,3.67%,0.31%,0
1788023647,0,running,healthy,false,3.67%,0.29%,0
