t_rel	session_idx	ms	outcome
0.141	0	1422.0	ok
1.094	4	469.0	ok
0.36	1	1203.0	ok
1.172	6	391.0	ok
0.5	2	1063.0	ok
1.156	5	407.0	ok
0.703	3	860.0	ok
1.563	0	140.0	ok
1.563	6	140.0	ratelimited
1.563	5	140.0	ratelimited
1.563	4	140.0	ratelimited
1.563	1	156.0	ok
1.563	2	156.0	ratelimited
1.203	7	547.0	ok
1.563	3	265.0	ratelimited
1.735	2	109.0	ok
1.735	1	109.0	ratelimited
1.735	6	125.0	ok
1.735	0	140.0	ratelimited
1.75	5	125.0	ok
1.75	7	141.0	ratelimited
1.75	4	141.0	ok
1.828	3	63.0	ok
1.906	2	94.0	ratelimited
1.922	5	78.0	ratelimited
1.922	6	94.0	ratelimited
1.922	4	109.0	ok
1.922	7	109.0	ok
1.922	0	141.0	ok
1.922	1	141.0	ok
2.016	3	78.0	ok
2.094	2	109.0	ok
2.11	7	93.0	ratelimited
2.11	5	109.0	ok
2.11	1	109.0	ok
2.11	4	125.0	ratelimited
2.11	0	140.0	ratelimited
2.11	6	140.0	ok
2.203	3	63.0	ratelimited
2.266	2	94.0	ok
2.281	7	110.0	ok
2.281	0	110.0	ok
2.281	1	110.0	ratelimited
2.281	5	125.0	ratelimited
2.281	6	141.0	ok
2.281	4	141.0	ok
2.375	3	78.0	ok
2.453	5	94.0	ok
2.453	6	110.0	ratelimited
2.453	0	125.0	ok
2.453	7	125.0	ratelimited
2.453	2	125.0	ratelimited
2.516	4	78.0	ok
2.516	1	94.0	ok
2.563	3	62.0	ratelimited
2.641	7	62.0	ok
2.641	0	62.0	ratelimited
2.641	6	78.0	ok
2.641	5	125.0	ok
2.688	2	78.0	ok
2.703	1	94.0	ok
2.703	4	94.0	ratelimited
2.735	3	78.0	ok
2.813	5	78.0	ratelimited
2.844	0	62.0	ok
2.844	6	109.0	ok
2.844	7	109.0	ok
2.875	4	94.0	ok
2.875	1	94.0	ratelimited
2.875	2	94.0	ok
2.922	3	78.0	ok
2.985	5	93.0	ok
3.031	7	79.0	ratelimited
3.031	6	94.0	ratelimited
3.031	0	110.0	ok
3.047	4	94.0	ratelimited
3.047	1	94.0	ok
3.047	2	125.0	ratelimited
3.094	3	94.0	ratelimited
3.172	5	94.0	ratelimited
3.203	7	110.0	ok
3.203	6	125.0	ok
3.203	2	125.0	ok
3.203	0	141.0	ratelimited
3.25	1	94.0	ratelimited
3.25	4	110.0	ok
3.266	3	94.0	ok
3.36	5	78.0	ok
3.375	6	94.0	ratelimited
3.375	0	110.0	ok
3.375	2	110.0	ratelimited
3.391	7	109.0	ok
3.422	4	94.0	ok
3.422	1	94.0	ok
3.453	3	63.0	ratelimited
3.531	5	94.0	ok
3.547	2	94.0	ok
3.563	0	93.0	ratelimited
3.563	6	93.0	ok
3.578	7	94.0	ratelimited
3.594	4	78.0	ratelimited
3.594	1	94.0	ratelimited
3.625	3	78.0	ok
3.719	5	78.0	ratelimited
3.735	2	93.0	ratelimited
3.75	6	94.0	ok
3.75	0	94.0	ok
3.766	7	94.0	ok
3.781	4	94.0	ok
3.781	1	94.0	ok
3.797	3	94.0	ratelimited
3.906	5	63.0	ok
3.922	2	109.0	ok
3.922	6	109.0	ratelimited
3.938	0	93.0	ok
3.953	1	94.0	ok
3.953	4	110.0	ratelimited
3.953	3	110.0	ok
3.953	7	110.0	ok
4.094	2	109.0	ok
4.094	5	109.0	ratelimited
4.11	6	125.0	ok
4.141	7	94.0	ratelimited
4.141	1	94.0	ratelimited
4.141	0	109.0	ratelimited
4.141	4	109.0	ok
4.141	3	140.0	ok
4.266	2	156.0	ratelimited
4.281	5	157.0	ok
4.297	6	156.0	ratelimited
4.328	3	125.0	ratelimited
4.328	0	157.0	ok
4.328	1	157.0	ok
4.328	4	219.0	ok
4.328	7	250.0	ok
4.438	2	156.0	ok
4.453	5	157.0	ok
4.469	6	156.0	ok
4.516	3	140.0	ok
4.5	0	172.0	ratelimited
4.531	1	172.0	ok
4.547	4	188.0	ratelimited
4.578	7	172.0	ok
4.61	2	156.0	ratelimited
4.641	6	156.0	ratelimited
4.641	5	156.0	ratelimited
4.672	0	125.0	ok
4.688	3	109.0	ratelimited
4.703	1	125.0	ratelimited
4.735	4	109.0	ok
4.797	6	141.0	ok
4.781	2	172.0	ok
4.813	5	156.0	ok
4.75	7	235.0	ratelimited
4.86	3	140.0	ok
4.844	0	156.0	ok
