t_rel	session_idx	ms	outcome
0.141	0	672.0	ok
0.813	0	78.0	ratelimited
0.485	1	484.0	ok
0.86	3	187.0	ok
0.719	2	438.0	ok
0.954	5	203.0	ok
0.922	4	235.0	ok
0.969	1	188.0	ratelimited
1.0	0	313.0	ok
1.047	3	266.0	ratelimited
1.157	2	172.0	ratelimited
1.047	6	282.0	ok
1.157	1	172.0	ok
1.141	7	250.0	ok
1.157	4	234.0	ok
1.157	5	265.0	ratelimited
1.313	3	156.0	ok
1.329	6	140.0	ratelimited
1.329	2	156.0	ok
1.329	1	156.0	ratelimited
1.313	0	203.0	ok
1.391	7	188.0	ratelimited
1.391	4	188.0	ratelimited
1.422	5	172.0	ok
1.485	3	125.0	ratelimited
1.5	2	157.0	ok
1.5	6	157.0	ok
1.516	0	156.0	ok
1.532	1	140.0	ok
1.579	7	125.0	ok
1.594	5	141.0	ok
1.579	4	171.0	ok
1.657	3	125.0	ok
1.672	6	125.0	ratelimited
1.672	2	125.0	ratelimited
1.719	1	110.0	ratelimited
1.704	0	125.0	ratelimited
1.75	4	94.0	ratelimited
1.766	7	94.0	ok
1.782	5	109.0	ratelimited
1.829	3	93.0	ok
1.844	2	94.0	ok
1.86	6	94.0	ok
1.875	0	110.0	ok
1.907	1	78.0	ok
1.922	4	94.0	ok
1.938	7	94.0	ratelimited
1.969	5	94.0	ok
2.016	3	63.0	ratelimited
2.016	2	78.0	ratelimited
2.032	6	62.0	ratelimited
2.047	0	78.0	ratelimited
2.094	1	78.0	ok
2.11	7	78.0	ok
2.11	4	78.0	ratelimited
2.141	5	78.0	ratelimited
2.188	3	78.0	ok
2.188	2	78.0	ok
2.219	6	78.0	ok
2.25	0	79.0	ok
2.282	1	62.0	ratelimited
2.282	7	62.0	ratelimited
2.297	4	63.0	ok
2.329	5	62.0	ok
2.36	2	62.0	ratelimited
2.36	3	62.0	ratelimited
2.391	6	63.0	ok
2.422	0	63.0	ok
2.469	1	63.0	ok
2.469	4	78.0	ok
2.469	7	94.0	ok
2.5	5	94.0	ok
2.516	2	94.0	ok
2.547	3	63.0	ok
2.594	6	63.0	ratelimited
2.594	0	63.0	ratelimited
2.657	1	62.0	ok
2.657	7	78.0	ok
2.657	4	93.0	ratelimited
2.672	5	110.0	ratelimited
2.704	2	78.0	ok
2.719	3	63.0	ok
2.766	6	63.0	ok
2.766	0	78.0	ok
2.844	5	63.0	ok
2.844	4	63.0	ok
2.844	7	78.0	ratelimited
2.844	1	94.0	ratelimited
2.891	3	63.0	ratelimited
2.891	2	63.0	ratelimited
2.938	6	62.0	ok
2.938	0	62.0	ratelimited
3.032	1	47.0	ok
3.032	7	78.0	ok
3.032	5	78.0	ratelimited
3.063	2	78.0	ok
3.063	3	78.0	ok
3.047	4	94.0	ratelimited
3.125	0	63.0	ok
3.125	6	63.0	ratelimited
3.219	1	94.0	ratelimited
3.219	5	110.0	ok
3.204	7	140.0	ratelimited
3.235	3	125.0	ratelimited
3.25	2	125.0	ratelimited
3.235	4	172.0	ok
3.297	6	110.0	ok
3.297	0	110.0	ok
3.391	7	141.0	ok
3.407	4	125.0	ok
3.407	1	140.0	ok
3.407	5	172.0	ok
3.438	2	156.0	ok
3.438	3	203.0	ok
3.485	0	187.0	ratelimited
3.485	6	187.0	ratelimited
3.579	7	125.0	ok
3.579	5	125.0	ratelimited
3.594	4	125.0	ratelimited
3.61	2	125.0	ok
3.61	1	125.0	ok
3.641	3	109.0	ok
3.672	0	157.0	ok
3.766	7	78.0	ratelimited
3.766	5	94.0	ok
3.672	6	188.0	ok
3.782	2	93.0	ratelimited
3.782	4	109.0	ok
3.782	1	140.0	ratelimited
3.86	0	94.0	ratelimited
3.86	6	109.0	ok
3.875	3	125.0	ratelimited
3.938	5	78.0	ratelimited
3.969	1	94.0	ok
3.969	4	110.0	ok
3.969	2	125.0	ok
4.0	7	125.0	ok
4.032	0	93.0	ok
4.032	6	109.0	ratelimited
4.063	3	78.0	ok
4.141	5	78.0	ok
4.141	1	94.0	ratelimited
4.157	4	93.0	ratelimited
4.157	2	93.0	ratelimited
4.188	7	78.0	ok
4.204	6	93.0	ok
4.204	0	93.0	ok
4.25	3	63.0	ok
4.313	5	47.0	ok
4.329	1	62.0	ok
4.344	4	78.0	ok
4.36	2	62.0	ok
4.375	6	63.0	ratelimited
4.375	7	79.0	ratelimited
4.375	0	79.0	ratelimited
4.438	3	47.0	ratelimited
4.485	5	31.0	ratelimited
4.516	1	94.0	ok
4.516	4	94.0	ratelimited
4.563	0	62.0	ok
4.563	7	62.0	ok
4.563	2	94.0	ok
4.563	6	94.0	ok
4.61	3	47.0	ok
4.672	5	47.0	ok
4.688	1	47.0	ratelimited
4.688	4	47.0	ok
4.735	2	62.0	ratelimited
4.735	0	78.0	ratelimited
4.735	6	78.0	ratelimited
4.75	7	79.0	ratelimited
4.782	3	62.0	ratelimited
4.844	5	47.0	ratelimited
4.86	4	62.0	ok
4.875	1	47.0	ok
4.907	0	47.0	ok
4.922	6	63.0	ok
4.922	2	63.0	ok
4.938	7	62.0	ok
4.954	3	46.0	ok
5.016	5	31.0	ok
5.047	4	47.0	ratelimited
5.063	1	47.0	ok
5.11	2	62.0	ok
5.11	6	62.0	ok
5.11	0	78.0	ok
5.125	7	79.0	ok
5.141	3	63.0	ok
5.204	5	31.0	ok
5.219	4	31.0	ok
5.25	1	32.0	ratelimited
5.297	0	47.0	ratelimited
5.297	6	63.0	ratelimited
5.297	2	78.0	ratelimited
5.297	7	94.0	ratelimited
5.329	3	62.0	ratelimited
5.391	5	47.0	ratelimited
5.407	4	47.0	ratelimited
5.438	1	47.0	ok
5.469	2	63.0	ok
5.469	6	63.0	ok
5.469	7	78.0	ok
5.485	0	78.0	ok
5.516	3	63.0	ok
5.563	5	47.0	ok
5.579	4	46.0	ok
5.61	1	47.0	ratelimited
5.641	7	78.0	ratelimited
5.657	0	78.0	ratelimited
5.657	6	78.0	ok
5.657	2	93.0	ratelimited
5.704	3	93.0	ok
5.735	5	94.0	ratelimited
5.75	4	79.0	ratelimited
5.782	1	109.0	ok
5.844	0	78.0	ok
5.844	2	78.0	ok
5.829	7	109.0	ok
5.844	6	110.0	ratelimited
5.875	3	94.0	ratelimited
5.907	5	78.0	ok
5.922	4	63.0	ok
5.985	1	31.0	ok
6.032	0	78.0	ok
6.016	7	94.0	ok
6.032	6	78.0	ok
6.032	2	93.0	ok
6.047	3	78.0	ok
6.094	5	47.0	ok
6.11	4	47.0	ok
6.172	1	32.0	ratelimited
6.188	7	78.0	ratelimited
6.204	6	78.0	ratelimited
6.204	0	78.0	ratelimited
6.204	2	78.0	ratelimited
6.235	3	47.0	ratelimited
6.282	5	47.0	ratelimited
6.297	4	47.0	ratelimited
6.375	7	94.0	ok
6.375	6	110.0	ok
6.344	1	141.0	ok
6.391	0	109.0	ok
6.391	2	125.0	ok
6.422	3	110.0	ok
6.454	5	93.0	ok
6.469	4	94.0	ok
6.516	1	141.0	ratelimited
6.547	6	125.0	ok
6.547	7	125.0	ok
6.563	2	125.0	ratelimited
6.563	0	156.0	ratelimited
6.61	3	109.0	ok
6.625	5	157.0	ratelimited
6.657	4	156.0	ok
6.704	1	156.0	ok
6.719	6	156.0	ratelimited
6.735	7	156.0	ratelimited
6.75	2	141.0	ok
6.75	0	157.0	ok
6.797	5	188.0	ok
6.797	3	203.0	ratelimited
6.829	4	171.0	ratelimited
6.875	1	157.0	ok
6.891	6	172.0	ok
6.907	7	172.0	ok
6.922	0	157.0	ok
6.985	5	125.0	ok
6.922	2	188.0	ok
7.0	3	125.0	ok
7.063	6	109.0	ratelimited
7.047	1	125.0	ratelimited
7.0	4	204.0	ok
7.11	0	109.0	ratelimited
7.11	2	125.0	ratelimited
7.079	7	156.0	ratelimited
7.172	3	94.0	ratelimited
7.172	5	125.0	ratelimited
7.204	4	125.0	ratelimited
7.235	1	94.0	ok
7.235	6	125.0	ok
7.282	0	93.0	ok
7.266	7	109.0	ok
7.282	2	125.0	ok
7.36	3	62.0	ok
7.36	5	78.0	ok
7.422	6	63.0	ratelimited
7.375	4	125.0	ok
7.422	1	94.0	ratelimited
7.454	0	78.0	ratelimited
7.454	2	78.0	ratelimited
7.454	7	78.0	ratelimited
7.532	5	62.0	ratelimited
7.547	3	63.0	ok
7.547	4	125.0	ratelimited
7.61	1	78.0	ok
7.61	6	78.0	ok
7.625	7	79.0	ok
7.625	0	79.0	ok
7.625	2	110.0	ok
7.704	5	62.0	ok
7.735	3	47.0	ratelimited
7.735	4	109.0	ok
7.782	1	109.0	ok
7.782	6	125.0	ok
7.797	7	141.0	ok
7.813	2	203.0	ok
7.844	0	203.0	ok
7.907	5	172.0	ok
7.922	4	157.0	ok
7.938	3	172.0	ok
7.954	1	203.0	ratelimited
7.954	6	218.0	ratelimited
7.969	7	219.0	ratelimited
8.016	2	188.0	ratelimited
8.047	0	172.0	ratelimited
8.079	5	156.0	ratelimited
8.094	4	156.0	ratelimited
8.11	3	156.0	ok
8.157	1	109.0	ok
8.172	6	110.0	ok
8.188	7	109.0	ok
8.204	2	125.0	ok
8.219	0	110.0	ok
8.266	5	78.0	ok
8.282	4	78.0	ok
8.313	3	109.0	ratelimited
8.344	6	110.0	ok
8.344	1	110.0	ok
8.391	7	125.0	ok
8.375	2	141.0	ratelimited
8.407	0	125.0	ok
8.438	5	141.0	ratelimited
8.454	4	156.0	ok
8.485	3	156.0	ok
8.516	6	141.0	ratelimited
8.516	1	156.0	ratelimited
8.547	2	125.0	ok
8.563	7	141.0	ratelimited
8.594	0	110.0	ratelimited
8.625	5	94.0	ok
8.625	4	110.0	ratelimited
8.657	3	93.0	ratelimited
8.688	6	94.0	ok
8.688	1	109.0	ok
8.75	7	63.0	ok
8.782	0	78.0	ok
8.782	2	78.0	ok
8.797	4	78.0	ok
8.813	5	78.0	ok
8.86	6	78.0	ratelimited
8.86	1	78.0	ratelimited
8.86	3	78.0	ok
8.938	7	78.0	ratelimited
8.954	0	93.0	ratelimited
8.954	2	156.0	ratelimited
8.985	4	140.0	ratelimited
9.0	5	141.0	ratelimited
9.047	6	110.0	ok
9.047	3	125.0	ok
9.047	1	125.0	ok
9.141	2	156.0	ok
9.157	4	156.0	ok
9.157	0	156.0	ok
9.172	5	141.0	ok
9.204	7	140.0	ok
9.219	1	125.0	ratelimited
9.219	6	125.0	ratelimited
9.219	3	188.0	ratelimited
9.329	4	125.0	ratelimited
