rep	endpoint	phase	p50	p99	max
0	t_report_session	baseline	13.257903	29.838405360000003	100.395753
0	t_report_session	rampup	18.1294375	133.55257326	149.009345
0	t_report_session	spike	114.651936	645.0465346300001	990.631379
0	t_report_session	rampdown	5.575142	8.208465520000003	11.343876
0	t_report_session	recovery	7.85494	10.02677715	11.32845
0	t_weekly_summary	baseline	8.051182	16.267576240000015	116.298674
0	t_weekly_summary	rampup	7.066683	117.83017858000001	165.352805
0	t_weekly_summary	spike	109.3897415	712.9566140999999	1111.552763
0	t_weekly_summary	rampdown	2.7646319999999998	5.457351660000001	6.479497
0	t_weekly_summary	recovery	3.8802149999999997	6.911130639999999	8.77861
0	t_calendar	baseline	6.203894	10.565353320000009	17.582311
0	t_calendar	rampup	4.708598	125.57035988000013	144.149593
0	t_calendar	spike	96.766103	628.2683734199987	1115.689911
0	t_calendar	rampdown	2.255905	3.8552832600000033	4.225454
0	t_calendar	recovery	3.341431	5.350439439999997	7.845387
0	t_daily	baseline	5.070498	10.62399800000002	14.003272
0	t_daily	rampup	3.9137835	106.53339970000015	146.804743
0	t_daily	spike	93.75346350000001	611.0015241399999	1011.161694
0	t_daily	rampdown	1.959326	3.4057846799999996	4.090514
0	t_daily	recovery	2.6937379999999997	4.42716338	6.051177
1	t_report_session	baseline	8.183579	10.568262800000005	11.137556
1	t_report_session	rampup	5.782184	10.88065428	11.566875
1	t_report_session	spike	5.738683	7.653709960000001	11.981027
1	t_report_session	rampdown	5.431609	7.624519960000002	8.394015
1	t_report_session	recovery	8.098078000000001	9.96762922	10.304548
1	t_weekly_summary	baseline	4.133265	6.832462520000001	7.057199
1	t_weekly_summary	rampup	2.885668	5.6214339300000065	6.004815
1	t_weekly_summary	spike	2.808502	3.7269386400000046	8.921177
1	t_weekly_summary	rampdown	2.746263	5.414067730000002	7.080056
1	t_weekly_summary	recovery	4.586963	7.26210837	14.407954
1	t_calendar	baseline	3.116168	4.908484160000001	4.956877
1	t_calendar	rampup	2.2901675	4.460278650000001	5.432689
1	t_calendar	spike	2.232614	2.7954410600000004	6.539581
1	t_calendar	rampdown	2.179017	3.5909265100000023	3.914121
1	t_calendar	recovery	2.9543315000000003	5.09527617	6.613154
1	t_daily	baseline	2.823209	4.414998000000001	4.631461
1	t_daily	rampup	1.983284	3.4121200000000007	3.90018
1	t_daily	spike	1.942906	2.419270470000002	7.982377
1	t_daily	rampdown	1.894642	3.642605099999998	3.82385
1	t_daily	recovery	2.5532675	4.60108173	5.088617
2	t_report_session	baseline	7.797415	9.865993040000005	10.523852
2	t_report_session	rampup	5.516944	12.228861879999991	12.805044
2	t_report_session	spike	5.683408	7.50152942	8.994814
2	t_report_session	rampdown	5.431829	7.453197320000004	8.167672
2	t_report_session	recovery	7.700347	9.56896295	9.747433
2	t_weekly_summary	baseline	4.386003	6.7018912	7.287719
2	t_weekly_summary	rampup	2.736056	5.621544460000008	6.906085
2	t_weekly_summary	spike	2.782484	3.497329300000009	8.488795
2	t_weekly_summary	rampdown	2.7152865	4.672863770000002	5.486545
2	t_weekly_summary	recovery	4.1061305	6.957147349999999	7.376744
2	t_calendar	baseline	3.154568	5.072153920000001	5.293727
2	t_calendar	rampup	2.2185430000000004	4.288988010000002	4.957471
2	t_calendar	spike	2.2184645	2.738018850000001	7.347554
2	t_calendar	rampdown	2.1838005000000003	3.8611986700000043	4.499823
2	t_calendar	recovery	2.851745	5.01621322	5.35728
2	t_daily	baseline	2.499602	4.4464678	4.523435
2	t_daily	rampup	1.8970544999999999	3.4641730300000004	4.470766
2	t_daily	spike	1.931843	2.35945	5.708551
2	t_daily	rampdown	1.907498	3.6260837399999937	4.138232
2	t_daily	recovery	2.729157	4.61448659	4.874013
3	t_report_session	baseline	7.585451	9.507169440000002	9.618261
3	t_report_session	rampup	5.520249	11.604339279999996	11.828709
3	t_report_session	spike	5.6934594999999995	7.569724590000001	15.647767
3	t_report_session	rampdown	5.420604	7.566129600000001	8.047085
3	t_report_session	recovery	7.9074124999999995	10.17243004	12.707434
3	t_weekly_summary	baseline	4.181979	7.06975912	7.15601
3	t_weekly_summary	rampup	2.741957	5.791242830000001	6.225099
3	t_weekly_summary	spike	2.779669	3.693467	11.06918
3	t_weekly_summary	rampdown	2.701661	5.135497440000001	6.403347
3	t_weekly_summary	recovery	4.2021415	6.8040321	7.932647
3	t_calendar	baseline	3.071151	5.130314320000002	5.437571
3	t_calendar	rampup	2.2175845	4.0516138900000005	4.610782
3	t_calendar	spike	2.217969	2.846108260000004	9.495427
3	t_calendar	rampdown	2.1756789999999997	3.9117530800000013	4.517903
3	t_calendar	recovery	3.186709	5.092553399999999	5.59792
3	t_daily	baseline	2.324089	4.21249996	4.277391
3	t_daily	rampup	1.879811	3.161486100000002	3.689038
3	t_daily	spike	1.9334695	2.3955006000000028	9.783649
3	t_daily	rampdown	1.892783	3.5319387599999903	3.816607
3	t_daily	recovery	2.4031545000000003	4.26398196	4.507803
