arm block rate s_p50 s_p95 s_p99 s_max e_p50 e_p95 e_p99 e_max iters failed dropped conflict
x60 0 4.5 10.12 12.44 15.97 22.26 7.11 11.83 15.14 27.88 541 0 0 0
x180 0 13.5 8.36 10.64 14.11 23.48 6.61 12.63 16.70 27.37 1621 0 0 0
x360 0 27 8.60 11.60 21.24 31.18 7.29 15.04 20.40 31.99 3240 0 0 1192
x180 1 13.5 9.75 12.12 19.16 27.65 7.21 13.57 17.16 35.37 1621 0 0 0
x360 1 27 8.46 11.57 21.67 32.40 7.14 14.05 19.69 27.38 3241 0 0 1179
x60 1 4.5 10.65 12.67 14.17 27.17 7.32 12.52 16.57 24.56 540 0 0 0
x360 2 27 8.46 11.55 20.71 31.15 7.22 14.25 19.83 27.87 3240 0 0 1179
x60 2 4.5 10.54 12.60 14.75 24.01 7.27 12.49 17.30 26.56 540 0 0 0
x180 2 13.5 9.72 11.83 16.89 28.49 7.32 13.25 16.62 28.66 1621 0 0 0
x60 3 4.5 10.71 12.41 13.76 15.72 7.34 12.94 15.71 16.55 541 0 0 0
x180 3 13.5 9.70 11.87 16.65 26.40 7.27 13.40 17.19 30.45 1620 0 0 0
x360 3 27 8.52 11.50 20.04 30.60 7.18 13.93 20.08 29.64 3241 0 0 1180
