seq	arm	started_at	elapsed_ms	errno
1	B	2026-08-13 01:07:53.070	4	0
2	B	2026-08-13 01:07:53.278	4	0
3	B	2026-08-13 01:07:53.485	4	0
4	B	2026-08-13 01:07:53.693	4	0
5	B	2026-08-13 01:07:53.901	4	0
6	B	2026-08-13 01:07:54.109	4	0
7	B	2026-08-13 01:07:54.317	4	0
8	B	2026-08-13 01:07:54.524	4	0
9	B	2026-08-13 01:07:54.732	4	0
10	B	2026-08-13 01:07:54.940	4	0
11	B	2026-08-13 01:07:55.147	4	0
12	B	2026-08-13 01:07:55.355	4	0
13	B	2026-08-13 01:07:55.562	4	0
14	B	2026-08-13 01:07:55.770	4	0
15	B	2026-08-13 01:07:55.977	4	0
16	B	2026-08-13 01:07:56.185	4	0
17	B	2026-08-13 01:07:56.395	4	0
18	B	2026-08-13 01:07:56.602	4	0
19	B	2026-08-13 01:07:56.810	5	0
20	B	2026-08-13 01:07:57.019	4	0
21	B	2026-08-13 01:07:57.226	5	0
22	B	2026-08-13 01:07:57.434	3	0
23	B	2026-08-13 01:07:57.640	4	0
24	B	2026-08-13 01:07:57.849	3	0
25	B	2026-08-13 01:07:58.056	5	0
26	B	2026-08-13 01:07:58.266	7	0
27	B	2026-08-13 01:07:58.541	3	0
28	B	2026-08-13 01:07:58.747	4	0
29	B	2026-08-13 01:07:58.954	6	0
30	B	2026-08-13 01:07:59.164	5	0
31	B	2026-08-13 01:07:59.373	4	0
32	B	2026-08-13 01:07:59.585	6	0
33	B	2026-08-13 01:07:59.795	5	0
34	B	2026-08-13 01:08:00.004	4	0
35	B	2026-08-13 01:08:00.212	3	0
36	B	2026-08-13 01:08:00.420	3	0
37	B	2026-08-13 01:08:00.626	5	0
38	B	2026-08-13 01:08:00.838	4	0
39	B	2026-08-13 01:08:01.046	4	0
40	B	2026-08-13 01:08:01.254	5	0
41	B	2026-08-13 01:08:01.464	4	0
42	B	2026-08-13 01:08:01.672	3	0
43	B	2026-08-13 01:08:01.880	5	0
44	B	2026-08-13 01:08:02.089	4	0
45	B	2026-08-13 01:08:02.299	4	0
46	B	2026-08-13 01:08:02.507	3	0
47	B	2026-08-13 01:08:02.714	5	0
48	B	2026-08-13 01:08:02.922	4	0
49	B	2026-08-13 01:08:03.130	3	0
50	B	2026-08-13 01:08:03.337	5	0
51	B	2026-08-13 01:08:03.545	6	0
52	B	2026-08-13 01:08:03.757	6	0
53	B	2026-08-13 01:08:03.967	4	0
54	B	2026-08-13 01:08:04.175	5	0
55	B	2026-08-13 01:08:04.384	10	0
56	B	2026-08-13 01:08:04.599	5	0
57	B	2026-08-13 01:08:04.809	4	0
58	B	2026-08-13 01:08:05.018	12	0
59	B	2026-08-13 01:08:05.233	4	0
60	B	2026-08-13 01:08:05.441	4	0
61	B	2026-08-13 01:08:05.650	3	0
62	B	2026-08-13 01:08:05.857	4	0
63	B	2026-08-13 01:08:06.066	5	0
64	B	2026-08-13 01:08:06.276	5	0
65	B	2026-08-13 01:08:06.484	5	0
66	B	2026-08-13 01:08:06.692	4	0
67	B	2026-08-13 01:08:06.900	5	0
68	B	2026-08-13 01:08:07.110	4	0
69	B	2026-08-13 01:08:07.318	4	0
70	B	2026-08-13 01:08:07.526	6	0
71	B	2026-08-13 01:08:07.736	5	0
72	B	2026-08-13 01:08:07.946	5	0
73	B	2026-08-13 01:08:08.154	4	0
74	B	2026-08-13 01:08:08.362	3	0
75	B	2026-08-13 01:08:08.571	3	0
76	B	2026-08-13 01:08:08.779	12	0
77	B	2026-08-13 01:08:08.996	4	0
78	B	2026-08-13 01:08:09.203	6	0
79	B	2026-08-13 01:08:09.412	4	0
80	B	2026-08-13 01:08:09.620	4	0
81	B	2026-08-13 01:08:09.829	4	0
82	B	2026-08-13 01:08:10.043	6	0
83	B	2026-08-13 01:08:10.252	4	0
84	B	2026-08-13 01:08:10.461	4	0
85	B	2026-08-13 01:08:10.670	4	0
86	B	2026-08-13 01:08:10.879	3	0
87	B	2026-08-13 01:08:11.085	6	0
88	B	2026-08-13 01:08:11.294	9	0
89	B	2026-08-13 01:08:11.510	6	0
90	B	2026-08-13 01:08:11.720	4	0
91	B	2026-08-13 01:08:11.929	5	0
92	B	2026-08-13 01:08:12.138	4	0
93	B	2026-08-13 01:08:12.345	5	0
94	B	2026-08-13 01:08:12.554	5	0
95	B	2026-08-13 01:08:12.763	6	0
96	B	2026-08-13 01:08:12.973	4	0
97	B	2026-08-13 01:08:13.181	3	0
98	B	2026-08-13 01:08:13.390	5	0
99	B	2026-08-13 01:08:13.600	4	0
100	B	2026-08-13 01:08:13.809	4	0
101	B	2026-08-13 01:08:14.018	14	0
102	B	2026-08-13 01:08:14.236	5	0
103	B	2026-08-13 01:08:14.444	5	0
104	B	2026-08-13 01:08:14.652	4	0
105	B	2026-08-13 01:08:14.860	5	0
106	B	2026-08-13 01:08:15.070	4	0
107	B	2026-08-13 01:08:15.279	4	0
108	B	2026-08-13 01:08:15.487	5	0
109	B	2026-08-13 01:08:15.696	5	0
110	B	2026-08-13 01:08:15.904	6	0
111	B	2026-08-13 01:08:16.113	5	0
112	B	2026-08-13 01:08:16.322	5	0
113	B	2026-08-13 01:08:16.531	4	0
114	B	2026-08-13 01:08:16.740	4	0
115	B	2026-08-13 01:08:16.949	3	0
116	B	2026-08-13 01:08:17.160	4	0
117	B	2026-08-13 01:08:17.369	4	0
118	B	2026-08-13 01:08:17.577	4	0
119	B	2026-08-13 01:08:17.784	4	0
120	B	2026-08-13 01:08:17.992	4	0
121	B	2026-08-13 01:08:18.203	8	0
122	B	2026-08-13 01:08:18.414	4	0
123	B	2026-08-13 01:08:18.621	4	0
124	B	2026-08-13 01:08:18.830	4	0
125	B	2026-08-13 01:08:19.038	4	0
126	B	2026-08-13 01:08:19.246	5	0
127	B	2026-08-13 01:08:19.454	5	0
128	B	2026-08-13 01:08:19.662	5	0
129	B	2026-08-13 01:08:19.871	4	0
130	B	2026-08-13 01:08:20.080	3	0
131	B	2026-08-13 01:08:20.288	4	0
132	B	2026-08-13 01:08:20.496	4	0
133	B	2026-08-13 01:08:20.706	4	0
134	B	2026-08-13 01:08:20.914	4	0
135	B	2026-08-13 01:08:21.122	4	0
136	B	2026-08-13 01:08:21.330	4	0
137	B	2026-08-13 01:08:21.538	4	0
138	B	2026-08-13 01:08:21.746	4	0
139	B	2026-08-13 01:08:21.953	4	0
140	B	2026-08-13 01:08:22.162	4	0
141	B	2026-08-13 01:08:22.371	4	0
142	B	2026-08-13 01:08:22.580	3	0
143	B	2026-08-13 01:08:22.786	5	0
144	B	2026-08-13 01:08:22.995	5	0
145	B	2026-08-13 01:08:23.203	10	0
146	B	2026-08-13 01:08:23.418	4	0
147	B	2026-08-13 01:08:23.627	4	0
148	B	2026-08-13 01:08:23.835	4	0
149	B	2026-08-13 01:08:24.042	4	0
150	B	2026-08-13 01:08:24.253	4	0
151	B	2026-08-13 01:08:24.461	5	0
152	B	2026-08-13 01:08:24.671	4	0
153	B	2026-08-13 01:08:24.879	5	0
154	B	2026-08-13 01:08:25.089	5	0
155	B	2026-08-13 01:08:25.299	4	0
156	B	2026-08-13 01:08:25.508	5	0
157	B	2026-08-13 01:08:25.717	4	0
158	B	2026-08-13 01:08:25.925	5	0
159	B	2026-08-13 01:08:26.134	4	0
160	B	2026-08-13 01:08:26.343	4	0
161	B	2026-08-13 01:08:26.551	4	0
162	B	2026-08-13 01:08:26.760	4	0
163	B	2026-08-13 01:08:26.969	2	0
164	B	2026-08-13 01:08:27.174	6	0
165	B	2026-08-13 01:08:27.388	4	0
166	B	2026-08-13 01:08:27.596	4	0
167	B	2026-08-13 01:08:27.804	5	0
168	B	2026-08-13 01:08:28.013	3	0
169	B	2026-08-13 01:08:28.221	4	0
170	B	2026-08-13 01:08:28.429	5	0
171	B	2026-08-13 01:08:28.639	4	0
172	B	2026-08-13 01:08:28.846	5	0
173	B	2026-08-13 01:08:29.056	4	0
174	B	2026-08-13 01:08:29.264	5	0
175	B	2026-08-13 01:08:29.472	4	0
176	B	2026-08-13 01:08:29.681	4	0
177	B	2026-08-13 01:08:29.890	4	0
178	B	2026-08-13 01:08:30.099	3	0
179	B	2026-08-13 01:08:30.306	5	0
180	B	2026-08-13 01:08:30.514	9	0
181	B	2026-08-13 01:08:30.727	4	0
182	B	2026-08-13 01:08:30.935	6	0
183	B	2026-08-13 01:08:31.145	8	0
184	B	2026-08-13 01:08:31.357	4	0
185	B	2026-08-13 01:08:31.564	6	0
186	B	2026-08-13 01:08:31.773	6	0
187	B	2026-08-13 01:08:31.983	4	0
188	B	2026-08-13 01:08:32.191	4	0
189	B	2026-08-13 01:08:32.400	25	0
190	B	2026-08-13 01:08:32.661	3	0
191	B	2026-08-13 01:08:32.865	14	0
192	B	2026-08-13 01:08:33.096	4	0
193	B	2026-08-13 01:08:33.303	5	0
194	B	2026-08-13 01:08:33.513	4	0
195	B	2026-08-13 01:08:33.721	5	0
196	B	2026-08-13 01:08:33.931	5	0
197	B	2026-08-13 01:08:34.140	4	0
198	B	2026-08-13 01:08:34.349	4	0
199	B	2026-08-13 01:08:34.559	4	0
200	B	2026-08-13 01:08:34.766	6	0
201	B	2026-08-13 01:08:34.975	6	0
202	B	2026-08-13 01:08:35.184	5	0
203	B	2026-08-13 01:08:35.393	4	0
204	B	2026-08-13 01:08:35.601	5	0
205	B	2026-08-13 01:08:35.811	4	0
206	B	2026-08-13 01:08:36.020	4	0
207	B	2026-08-13 01:08:36.229	9	0
208	B	2026-08-13 01:08:36.442	9	0
209	B	2026-08-13 01:08:36.654	5	0
210	B	2026-08-13 01:08:36.863	3	0
211	B	2026-08-13 01:08:37.071	4	0
212	B	2026-08-13 01:08:37.291	4	0
213	B	2026-08-13 01:08:37.500	4	0
214	B	2026-08-13 01:08:37.709	4	0
215	B	2026-08-13 01:08:37.917	5	0
216	B	2026-08-13 01:08:38.126	15	0
217	B	2026-08-13 01:08:38.345	5	0
218	B	2026-08-13 01:08:38.553	4	0
219	B	2026-08-13 01:08:38.761	5	0
220	B	2026-08-13 01:08:38.971	5	0
221	B	2026-08-13 01:08:39.180	4	0
222	B	2026-08-13 01:08:39.388	4	0
223	B	2026-08-13 01:08:39.595	6	0
224	B	2026-08-13 01:08:39.804	5	0
225	B	2026-08-13 01:08:40.014	3	0
226	B	2026-08-13 01:08:40.222	3	0
227	B	2026-08-13 01:08:40.430	4	0
228	B	2026-08-13 01:08:40.638	4	0
229	B	2026-08-13 01:08:40.846	9	0
230	B	2026-08-13 01:08:41.059	5	0
231	B	2026-08-13 01:08:41.268	5	0
232	B	2026-08-13 01:08:41.477	4	0
233	B	2026-08-13 01:08:41.685	5	0
234	B	2026-08-13 01:08:41.894	4	0
235	B	2026-08-13 01:08:42.102	4	0
236	B	2026-08-13 01:08:42.310	8	0
237	B	2026-08-13 01:08:42.522	4	0
238	B	2026-08-13 01:08:42.730	5	0
239	B	2026-08-13 01:08:42.939	4	0
240	B	2026-08-13 01:08:43.147	4	0
241	B	2026-08-13 01:08:43.354	5	0
242	B	2026-08-13 01:08:43.562	7	0
243	B	2026-08-13 01:08:43.773	4	0
244	B	2026-08-13 01:08:43.981	4	0
245	B	2026-08-13 01:08:44.189	5	0
246	B	2026-08-13 01:08:44.397	4	0
247	B	2026-08-13 01:08:44.608	4	0
248	B	2026-08-13 01:08:44.819	6	0
249	B	2026-08-13 01:08:45.029	4	0
250	B	2026-08-13 01:08:45.236	5	0
251	B	2026-08-13 01:08:45.445	5	0
252	B	2026-08-13 01:08:45.654	5	0
253	B	2026-08-13 01:08:45.862	7	0
254	B	2026-08-13 01:08:46.073	4	0
255	B	2026-08-13 01:08:46.281	4	0
256	B	2026-08-13 01:08:46.490	6	0
257	B	2026-08-13 01:08:46.700	4	0
258	B	2026-08-13 01:08:46.909	4	0
259	B	2026-08-13 01:08:47.116	4	0
260	B	2026-08-13 01:08:47.330	3	0
261	B	2026-08-13 01:08:47.538	4	0
262	B	2026-08-13 01:08:47.747	6	0
263	B	2026-08-13 01:08:47.958	4	0
264	B	2026-08-13 01:08:48.166	5	0
265	B	2026-08-13 01:08:48.375	5	0
266	B	2026-08-13 01:08:48.584	3	0
267	B	2026-08-13 01:08:48.792	4	0
268	B	2026-08-13 01:08:49.001	4	0
269	B	2026-08-13 01:08:49.210	5	0
270	B	2026-08-13 01:08:49.420	4	0
271	B	2026-08-13 01:08:49.630	4	0
272	B	2026-08-13 01:08:49.840	4	0
273	B	2026-08-13 01:08:50.049	5	0
274	B	2026-08-13 01:08:50.262	3	0
275	B	2026-08-13 01:08:50.470	3	0
276	B	2026-08-13 01:08:50.678	4	0
277	B	2026-08-13 01:08:50.886	4	0
278	B	2026-08-13 01:08:51.095	4	0
279	B	2026-08-13 01:08:51.302	4	0
280	B	2026-08-13 01:08:51.511	4	0
281	B	2026-08-13 01:08:51.719	5	0
282	B	2026-08-13 01:08:51.929	5	0
283	B	2026-08-13 01:08:52.138	5	0
284	B	2026-08-13 01:08:52.346	5	0
285	B	2026-08-13 01:08:52.555	4	0
286	B	2026-08-13 01:08:52.762	4	0
287	B	2026-08-13 01:08:52.972	4	0
288	B	2026-08-13 01:08:53.184	6	0
289	B	2026-08-13 01:08:53.394	5	0
290	B	2026-08-13 01:08:53.608	4	0
291	B	2026-08-13 01:08:53.815	6	0
292	B	2026-08-13 01:08:54.025	4	0
293	B	2026-08-13 01:08:54.233	5	0
294	B	2026-08-13 01:08:54.442	3	0
295	B	2026-08-13 01:08:54.650	7	0
296	B	2026-08-13 01:08:54.862	4	0
297	B	2026-08-13 01:08:55.070	5	0
298	B	2026-08-13 01:08:55.279	4	0
299	B	2026-08-13 01:08:55.487	4	0
300	B	2026-08-13 01:08:55.695	4	0
301	B	2026-08-13 01:08:55.903	3	0
302	B	2026-08-13 01:08:56.111	4	0
303	B	2026-08-13 01:08:56.321	7	0
304	B	2026-08-13 01:08:56.532	6	0
305	B	2026-08-13 01:08:56.742	11	0
306	B	2026-08-13 01:08:56.957	4	0
307	B	2026-08-13 01:08:57.165	5	0
308	B	2026-08-13 01:08:57.373	6	0
309	B	2026-08-13 01:08:57.582	4	0
310	B	2026-08-13 01:08:57.791	6	0
311	B	2026-08-13 01:08:58.002	12	0
312	B	2026-08-13 01:08:58.221	3	0
313	B	2026-08-13 01:08:58.429	4	0
314	B	2026-08-13 01:08:58.637	4	0
315	B	2026-08-13 01:08:58.845	5	0
316	B	2026-08-13 01:08:59.054	5	0
317	B	2026-08-13 01:08:59.264	5	0
318	B	2026-08-13 01:08:59.473	4	0
319	B	2026-08-13 01:08:59.687	4	0
320	B	2026-08-13 01:08:59.894	6	0
321	B	2026-08-13 01:09:00.104	5	0
322	B	2026-08-13 01:09:00.312	4	0
323	B	2026-08-13 01:09:00.520	5	0
324	B	2026-08-13 01:09:00.730	5	0
325	B	2026-08-13 01:09:00.939	4	0
326	B	2026-08-13 01:09:01.146	4	0
327	B	2026-08-13 01:09:01.354	5	0
328	B	2026-08-13 01:09:01.562	23	0
329	B	2026-08-13 01:09:01.792	4	0
330	B	2026-08-13 01:09:02.000	11	0
331	B	2026-08-13 01:09:02.214	6	0
332	B	2026-08-13 01:09:02.424	5	0
333	B	2026-08-13 01:09:02.633	4	0
334	B	2026-08-13 01:09:02.841	4	0
335	B	2026-08-13 01:09:03.050	3	0
336	B	2026-08-13 01:09:03.258	4	0
337	B	2026-08-13 01:09:03.466	5	0
338	B	2026-08-13 01:09:03.675	5	0
339	B	2026-08-13 01:09:03.884	4	0
