seq	arm	started_at	elapsed_ms	errno
1	B	2026-08-13 01:15:06.870	4	0
2	B	2026-08-13 01:15:07.078	4	0
3	B	2026-08-13 01:15:07.285	5	0
4	B	2026-08-13 01:15:07.493	4	0
5	B	2026-08-13 01:15:07.701	5	0
6	B	2026-08-13 01:15:07.910	4	0
7	B	2026-08-13 01:15:08.117	4	0
8	B	2026-08-13 01:15:08.324	4	0
9	B	2026-08-13 01:15:08.532	4	0
10	B	2026-08-13 01:15:08.740	4	0
11	B	2026-08-13 01:15:08.948	4	0
12	B	2026-08-13 01:15:09.154	5	0
13	B	2026-08-13 01:15:09.362	4	0
14	B	2026-08-13 01:15:09.570	4	0
15	B	2026-08-13 01:15:09.777	4	0
16	B	2026-08-13 01:15:09.984	5	0
17	B	2026-08-13 01:15:10.193	4	0
18	B	2026-08-13 01:15:10.401	4	0
19	B	2026-08-13 01:15:10.609	4	0
20	B	2026-08-13 01:15:10.817	4	0
21	B	2026-08-13 01:15:11.024	4	0
22	B	2026-08-13 01:15:11.232	6	0
23	B	2026-08-13 01:15:11.443	3	0
24	B	2026-08-13 01:15:11.649	4	0
25	B	2026-08-13 01:15:11.856	5	0
26	B	2026-08-13 01:15:12.065	14	0
27	B	2026-08-13 01:15:12.284	5	0
28	B	2026-08-13 01:15:12.493	12	0
29	B	2026-08-13 01:15:12.710	4	0
30	B	2026-08-13 01:15:12.919	3	0
31	B	2026-08-13 01:15:13.126	5	0
32	B	2026-08-13 01:15:13.336	5	0
33	B	2026-08-13 01:15:13.544	3	0
34	B	2026-08-13 01:15:13.752	4	0
35	B	2026-08-13 01:15:13.962	3	0
36	B	2026-08-13 01:15:14.170	4	0
37	B	2026-08-13 01:15:14.379	4	0
38	B	2026-08-13 01:15:14.586	4	0
39	B	2026-08-13 01:15:14.798	7	0
40	B	2026-08-13 01:15:15.010	3	0
41	B	2026-08-13 01:15:15.217	8	0
42	B	2026-08-13 01:15:15.430	3	0
43	B	2026-08-13 01:15:15.637	4	0
44	B	2026-08-13 01:15:15.844	5	0
45	B	2026-08-13 01:15:16.053	4	0
46	B	2026-08-13 01:15:16.261	4	0
47	B	2026-08-13 01:15:16.470	4	0
48	B	2026-08-13 01:15:16.679	4	0
49	B	2026-08-13 01:15:16.887	7	0
50	B	2026-08-13 01:15:17.099	4	0
51	B	2026-08-13 01:15:17.307	7	0
52	B	2026-08-13 01:15:17.518	4	0
53	B	2026-08-13 01:15:17.726	5	0
54	B	2026-08-13 01:15:17.935	6	0
55	B	2026-08-13 01:15:18.144	10	0
56	B	2026-08-13 01:15:18.357	4	0
57	B	2026-08-13 01:15:18.565	5	0
58	B	2026-08-13 01:15:18.774	13	0
59	B	2026-08-13 01:15:19.008	2	0
60	B	2026-08-13 01:15:19.211	4	0
61	B	2026-08-13 01:15:19.423	6	0
62	B	2026-08-13 01:15:19.633	4	0
63	B	2026-08-13 01:15:19.841	5	0
64	B	2026-08-13 01:15:20.051	4	0
65	B	2026-08-13 01:15:20.260	8	0
66	B	2026-08-13 01:15:20.473	5	0
67	B	2026-08-13 01:15:20.682	13	0
68	B	2026-08-13 01:15:20.904	5	0
69	B	2026-08-13 01:15:21.113	3	0
70	B	2026-08-13 01:15:21.321	4	0
71	B	2026-08-13 01:15:21.529	5	0
72	B	2026-08-13 01:15:21.739	4	0
73	B	2026-08-13 01:15:21.946	6	0
74	B	2026-08-13 01:15:22.156	5	0
75	B	2026-08-13 01:15:22.365	5	0
76	B	2026-08-13 01:15:22.574	5	0
77	B	2026-08-13 01:15:22.783	3	0
78	B	2026-08-13 01:15:22.992	4	0
79	B	2026-08-13 01:15:23.200	3	0
80	B	2026-08-13 01:15:23.413	4	0
81	B	2026-08-13 01:15:23.621	4	0
82	B	2026-08-13 01:15:23.831	4	0
83	B	2026-08-13 01:15:24.040	4	0
84	B	2026-08-13 01:15:24.249	3	0
85	B	2026-08-13 01:15:24.457	4	0
86	B	2026-08-13 01:15:24.664	19	0
87	B	2026-08-13 01:15:24.899	4	0
88	B	2026-08-13 01:15:25.107	4	0
89	B	2026-08-13 01:15:25.315	4	0
90	B	2026-08-13 01:15:25.523	11	0
91	B	2026-08-13 01:15:25.740	4	0
92	B	2026-08-13 01:15:25.949	4	0
93	B	2026-08-13 01:15:26.156	9	0
94	B	2026-08-13 01:15:26.370	3	0
95	B	2026-08-13 01:15:26.577	4	0
96	B	2026-08-13 01:15:26.785	4	0
97	B	2026-08-13 01:15:26.993	5	0
98	B	2026-08-13 01:15:27.202	4	0
99	B	2026-08-13 01:15:27.412	4	0
100	B	2026-08-13 01:15:27.621	4	0
101	B	2026-08-13 01:15:27.830	4	0
102	B	2026-08-13 01:15:28.039	4	0
103	B	2026-08-13 01:15:28.247	4	0
104	B	2026-08-13 01:15:28.455	5	0
105	B	2026-08-13 01:15:28.664	6	0
106	B	2026-08-13 01:15:28.885	5	0
107	B	2026-08-13 01:15:29.094	4	0
108	B	2026-08-13 01:15:29.302	4	0
109	B	2026-08-13 01:15:29.511	4	0
110	B	2026-08-13 01:15:29.720	4	0
111	B	2026-08-13 01:15:29.929	8	0
112	B	2026-08-13 01:15:30.141	4	0
113	B	2026-08-13 01:15:30.351	4	0
114	B	2026-08-13 01:15:30.560	3	0
115	B	2026-08-13 01:15:30.768	3	0
116	B	2026-08-13 01:15:30.976	4	0
117	B	2026-08-13 01:15:31.183	6	0
118	B	2026-08-13 01:15:31.393	13	0
119	B	2026-08-13 01:15:31.611	6	0
120	B	2026-08-13 01:15:31.822	4	0
121	B	2026-08-13 01:15:32.031	4	0
122	B	2026-08-13 01:15:32.241	3	0
123	B	2026-08-13 01:15:32.450	4	0
124	B	2026-08-13 01:15:32.658	5	0
125	B	2026-08-13 01:15:32.873	4	0
126	B	2026-08-13 01:15:33.081	4	0
127	B	2026-08-13 01:15:33.289	4	0
128	B	2026-08-13 01:15:33.499	3	0
129	B	2026-08-13 01:15:33.705	5	0
130	B	2026-08-13 01:15:33.913	4	0
131	B	2026-08-13 01:15:34.125	5	0
132	B	2026-08-13 01:15:34.333	5	0
133	B	2026-08-13 01:15:34.542	4	0
134	B	2026-08-13 01:15:34.750	3	0
135	B	2026-08-13 01:15:34.958	5	0
136	B	2026-08-13 01:15:35.167	4	0
137	B	2026-08-13 01:15:35.375	5	0
138	B	2026-08-13 01:15:35.584	5	0
139	B	2026-08-13 01:15:35.796	19	0
140	B	2026-08-13 01:15:36.021	4	0
141	B	2026-08-13 01:15:36.230	4	0
142	B	2026-08-13 01:15:36.437	5	0
143	B	2026-08-13 01:15:36.645	5	0
144	B	2026-08-13 01:15:36.854	5	0
145	B	2026-08-13 01:15:37.063	5	0
146	B	2026-08-13 01:15:37.272	9	0
147	B	2026-08-13 01:15:37.486	4	0
148	B	2026-08-13 01:15:37.694	5	0
149	B	2026-08-13 01:15:37.903	3	0
150	B	2026-08-13 01:15:38.112	3	0
151	B	2026-08-13 01:15:38.324	3	0
152	B	2026-08-13 01:15:38.531	4	0
153	B	2026-08-13 01:15:38.740	3	0
154	B	2026-08-13 01:15:38.947	4	0
155	B	2026-08-13 01:15:39.156	4	0
156	B	2026-08-13 01:15:39.369	4	0
157	B	2026-08-13 01:15:39.576	4	0
158	B	2026-08-13 01:15:39.784	6	0
159	B	2026-08-13 01:15:39.993	5	0
160	B	2026-08-13 01:15:40.202	4	0
161	B	2026-08-13 01:15:40.411	3	0
162	B	2026-08-13 01:15:40.620	12	0
163	B	2026-08-13 01:15:40.836	5	0
164	B	2026-08-13 01:15:41.045	7	0
165	B	2026-08-13 01:15:41.255	5	0
166	B	2026-08-13 01:15:41.464	4	0
167	B	2026-08-13 01:15:41.672	14	0
168	B	2026-08-13 01:15:41.891	5	0
169	B	2026-08-13 01:15:42.100	4	0
170	B	2026-08-13 01:15:42.309	4	0
171	B	2026-08-13 01:15:42.520	5	0
172	B	2026-08-13 01:15:42.730	3	0
173	B	2026-08-13 01:15:42.939	4	0
174	B	2026-08-13 01:15:43.148	6	0
175	B	2026-08-13 01:15:43.359	4	0
176	B	2026-08-13 01:15:43.566	5	0
177	B	2026-08-13 01:15:43.775	5	0
178	B	2026-08-13 01:15:43.983	5	0
179	B	2026-08-13 01:15:44.192	3	0
180	B	2026-08-13 01:15:44.399	4	0
181	B	2026-08-13 01:15:44.606	5	0
182	B	2026-08-13 01:15:44.814	5	0
183	B	2026-08-13 01:15:45.022	4	0
184	B	2026-08-13 01:15:45.235	5	0
185	B	2026-08-13 01:15:45.444	5	0
186	B	2026-08-13 01:15:45.652	4	0
187	B	2026-08-13 01:15:45.861	11	0
