mysql: [Warning] Using a password on the command line interface can be insecure.
DIGEST_TEXT	COUNT_STAR	sum_s	SUM_ROWS_EXAMINED
CALL `ddl_writer` (...)	16	802.316932468	0
INSERT INTO `pose_data_scale` ( `session_id` , `timestamp_sec` , `joint_coordinates` , `sync_rate` , `is_correct` , `feedback_message` , `created_at` ) SELECT `s` . `n` + ? , `r` . `n` * ?, ... , TIMESTAMP (?) + INTERVAL ( `s` . `n` * ? ) SQL_TSI_MINUTE + INTERVAL `FLOOR` ( `r` . `n` * ? ) SQL_TSI_SECOND FROM `_seq` `s` CROSS JOIN `_seq` `r` WHERE `s` . `n` >= ? AND `s` . `n` < ? AND `r` . `n` < ?	120	487.731953452	197728
CREATE INDEX `idx_session_timestamp` ON `pose_data_scale` ( `session_id` , `timestamp_sec` )	16	441.374847449	0
INSERT LOW_PRIORITY IGNORE INTO `shadowfit` . `_pose_data_scale_new` ( `id` , `session_id` , `timestamp_sec` , `joint_coordinates` , `sync_rate` , `is_correct` , `feedback_message` , `created_at` ) SELECT `id` , `session_id` , `timestamp_sec` , `joint_coordinates` , `sync_rate` , `is_correct` , `feedback_message` , `created_at` FROM `shadowfit` . `pose_data_scale` FORCE INDEX ( `PRIMARY` ) WHERE ( ( `id` > ? ) OR ( `id` = ? AND `created_at` >= ? ) ) AND ( ( `id` < ? ) OR ( `id` = ? AND `created_at` <= ? ) ) LOCK IN SHARE MODE	890	433.741051611	40402309
ALTER TABLE `pose_data_scale` PARTITION BY RANGE ( `UNIX_TIMESTAMP` ( `created_at` ) ) ( PARTITION `p2026_01` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_02` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_03` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_04` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_05` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_06` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_07` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_08` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_09` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_10` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_11` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_12` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2027_01` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `pfuture` VALUES LESS THAN MAXVALUE )	8	281.646876945	0
SELECT COUNT ( * ) FROM `pose_data_scale`	32	18.273133771	0
SELECT SQL_NO_CACHE `id` , `id` , `created_at` FROM `shadowfit` . `pose_data_scale` FORCE INDEX ( `PRIMARY` ) WHERE ( ( `id` > ? ) OR ( `id` = ? AND `created_at` >= ? ) ) ORDER BY `id` , `created_at` LIMIT ?, ...	890	10.360398711	40403191
INSERT INTO `_seq` WITH `d` AS ( SELECT ? `n` UNION SELECT ? UNION SELECT ? UNION SELECT ? UNION SELECT ? UNION SELECT ? UNION SELECT ? UNION SELECT ? UNION SELECT ? UNION SELECT ? ) SELECT `d0` . `n` + `d1` . `n` * ? + `d2` . `n` * ? + `d3` . `n` * ? + `d4` . `n` * ? FROM `d` `d0` , `d` `d1` , `d` `d2` , `d` `d3` , `d` `d4`	16	8.830243109	800
DROP TABLE IF EXISTS `pose_data_scale`	16	5.521139845	0
ALTER TABLE `shadowfit` . `_pose_data_scale_new` PARTITION BY RANGE ( `UNIX_TIMESTAMP` ( `created_at` ) ) ( PARTITION `p2026_01` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_02` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_03` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_04` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_05` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_06` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_07` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_08` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_09` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_10` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_11` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_12` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2027_01` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `pfuture` VALUES LESS THAN MAXVALUE )	8	3.788967328	0
DROP TABLE IF EXISTS `shadowfit` . `_pose_data_scale_old`	8	1.284678675	0
RENAME TABLE `shadowfit` . `pose_data_scale` TO `shadowfit` . `_pose_data_scale_old` , `shadowfit` . `_pose_data_scale_new` TO `shadowfit` . `pose_data_scale`	8	1.212035649	0
ALTER TABLE `shadowfit` . `_ptosc_smoke_new` PARTITION BY RANGE ( `UNIX_TIMESTAMP` ( `created_at` ) ) ( PARTITION `p2026_01` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_02` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_03` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_04` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_05` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_06` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_07` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_08` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_09` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_10` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_11` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_12` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2027_01` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `pfuture` VALUES LESS THAN MAXVALUE )	2	0.604182784	0
ANALYZE TABLE `shadowfit` . `_pose_data_scale_new`	8	0.559828512	0
TRUNCATE TABLE `ddl_writer_log`	16	0.551000515	0
SHOW GLOBAL STATUS LIKE ?	912	0.501936616	912
CREATE TABLE `pose_data_scale` ( `id` INT8 NOT NULL AUTO_INCREMENT , `session_id` INT8 NOT NULL , `timestamp_sec` FLOAT8 NOT NULL , `joint_coordinates` TEXT COLLATE `utf8mb4_unicode_ci` NOT NULL , `sync_rate` FLOAT8 DEFAULT ? , `is_correct` TINYINT (?) DEFAULT ? , `feedback_message` VARCHARACTER (?) COLLATE `utf8mb4_unicode_ci` DEFAULT ? , `created_at` TIMESTAMP NOT NULL DEFAULT NOW , PRIMARY KEY ( `id` , `created_at` ) ) ENGINE = `InnoDB` DEFAULT CHARSET = `utf8mb4` COLLATE = `utf8mb4_unicode_ci`	16	0.399243783	0
CREATE TABLE `_seq` ( `n` INTEGER PRIMARY KEY )	16	0.363032638	0
CREATE TABLE `pose_data_probe` LIKE `pose_data_scale`	2	0.292758571	0
