level	rate	dur	iters	failed	dropped	conflict	conflict_pct	start_p50	start_p99	end_p50	end_p99
r01	1	90	90	0	0	0	0.0	15.58	62.43	10.51	25.71
r02	2	90	181	4	0	0	0.0	13.80	20.99	8.96	16.73
r04	4	90	360	5	0	87	24.2	10.19	18.41	7.10	16.12
r06	6	90	540	7	0	282	52.2	6.50	16.09	6.79	12.32
r08	8	90	720	7	0	471	65.4	4.60	12.74	6.45	16.71
r10	10	90	901	4	0	725	80.5	3.79	11.51	6.11	13.24
r135	13.5	90	1216	2	0	1029	84.6	3.92	10.76	6.51	17.79
r08b	8	90	721	3	0	572	79.3	4.74	12.08	6.52	14.35
r10b	10	90	900	7	0	683	75.9	4.74	11.87	6.98	17.19
r135_tuned	13.5	90	1216	3	0	1064	87.5	6.53	17.41	8.80	18.27
