level	rate	container	samples	cpu_avg_pct	cpu_max_pct	mem_avg_mb	mem_max_mb
r20	2.0	shadowfit-backend	8	21.3	106.4	644.4	653.6
r20	2.0	shadowfit-ai	8	10.0	20.6	800.4	1297.4
r20	2.0	shadowfit-mysql	8	2.8	4.4	582.2	582.9
r25	2.5	shadowfit-backend	8	19.1	105.8	662.3	669.5
r25	2.5	shadowfit-ai	8	9.4	25.4	788.8	1431.6
r25	2.5	shadowfit-mysql	8	3.2	5.2	583.0	583.1
r30	3.0	shadowfit-backend	8	20.8	94.9	672.1	672.8
r30	3.0	shadowfit-ai	8	44.9	308.3	677.8	1257.5
r30	3.0	shadowfit-mysql	8	3.5	5.0	583.5	583.7
r35	3.5	shadowfit-backend	8	21.4	91.5	673.7	674.7
r35	3.5	shadowfit-ai	8	9.4	36.4	824.0	1343.5
r35	3.5	shadowfit-mysql	8	3.5	5.0	584.0	584.7
r40	4.0	shadowfit-backend	8	19.5	96.6	673.1	675.2
r40	4.0	shadowfit-ai	8	47.1	310.6	713.1	1116.2
r40	4.0	shadowfit-mysql	8	4.4	5.9	584.7	584.9
r25b	2.5	shadowfit-backend	8	15.3	92.4	669.6	672.8
r25b	2.5	shadowfit-ai	8	30.8	148.8	964.9	1488.9
r25b	2.5	shadowfit-mysql	8	3.3	5.3	585.2	585.5
r30b	3.0	shadowfit-backend	8	14.7	91.7	670.4	671.2
r30b	3.0	shadowfit-ai	8	5.2	20.9	822.9	1271.8
r30b	3.0	shadowfit-mysql	8	3.0	4.6	585.7	585.9
r35b	3.5	shadowfit-backend	8	18.1	92.7	671.7	671.8
r35b	3.5	shadowfit-ai	8	8.6	35.6	619.8	1190.9
r35b	3.5	shadowfit-mysql	8	3.6	4.8	586.0	586.1
