tag	rps	rows_s	p50_ms	p95_ms	p99_ms	fail	total	commits	fsyncs	fsync_s	log_bytes
s1_r1	256.8	1284.0	75	81	118	0	1500	9255	4491	374.2	25035264
s2_r1	413.9	2069.5	47	54	61	0	1500	9193	3347	371.9	26282496
s5_r1	616.0	3080.0	28	44	70	0	1500	9185	2000	222.2	30590464
s20_r1	804.9	4024.5	19	28	32	0	1500	9189	1351	168.9	32174080
s100_r1	771.1	3855.5	20	32	42	0	1500	9439	1264	140.4	31559168
s2_r2	416.7	2083.5	46	52	56	0	1500	9192	3361	373.4	27598336
s5_r2	633.4	3167.0	28	40	59	0	1500	9182	1818	227.2	28584960
s20_r2	810.2	4051.0	19	27	45	0	1500	9207	1304	163.0	32089088
s100_r2	815.6	4078.0	19	27	46	0	1500	9344	1282	160.2	31200256
s1_r2	259.4	1297.0	75	81	83	0	1500	9235	4443	403.9	24922624
s5_r3	611.2	3056.0	29	40	71	0	1500	9178	1974	219.3	30131200
s20_r3	798.6	3993.0	19	28	52	0	1500	9209	1212	151.5	30345216
s100_r3	824.4	4122.0	19	27	33	0	1500	9447	1307	186.7	31688192
s1_r3	253.9	1269.5	76	83	124	0	1500	9236	4416	368.0	24931328
s2_r3	409.2	2046.0	47	53	86	0	1500	9191	3479	386.6	27397632
s20_r4	801.6	4008.0	19	27	47	0	1500	9205	1195	170.7	31552000
s100_r4	794.1	3970.5	19	28	49	0	1500	9446	1352	169.0	31030784
s1_r4	256.6	1283.0	76	81	82	0	1500	9237	4509	375.8	25077760
s2_r4	413.6	2068.0	46	56	85	0	1500	9203	3203	320.3	24661504
s5_r4	617.2	3086.0	26	52	60	0	1500	9182	1948	243.5	30217216
s100_r5	808.7	4043.5	19	27	50	0	1500	9439	1261	157.6	31511552
s1_r5	256.7	1283.5	76	81	90	0	1500	9235	4470	372.5	24958976
s2_r5	411.1	2055.5	46	56	65	0	1500	9201	3566	356.6	27493888
s5_r5	628.8	3144.0	29	44	51	0	1500	9177	1901	237.6	29460992
s20_r5	823.4	4117.0	19	27	31	0	1500	9206	1381	172.6	31592448
