tag	level	rep	pos	t0_utc	t1_utc	secs	row_lock_waits	row_lock_time_ms	dirty_pages	rows_inserted	rows_expected
discard_s100	100	0	0	2026-08-17T13:55:50Z	2026-08-17T13:55:58Z	8	0	0	12365→8194	7500	7500
s1_r1	1	1	1	2026-08-17T13:56:38Z	2026-08-17T13:56:50Z	12	1499	78779	8152→2003	7500	7500
s2_r1	2	1	2	2026-08-17T13:57:32Z	2026-08-17T13:57:41Z	9	1498	44263	12484→5836	7500	7500
s5_r1	5	1	3	2026-08-17T13:58:22Z	2026-08-17T13:58:31Z	9	1466	20601	12251→5380	7500	7500
s20_r1	20	1	4	2026-08-17T13:59:11Z	2026-08-17T13:59:19Z	8	54	217	12720→6225	7500	7500
s100_r1	100	1	5	2026-08-17T13:59:58Z	2026-08-17T14:00:07Z	9	0	0	12455→5330	7500	7500
s2_r2	2	2	1	2026-08-17T14:00:49Z	2026-08-17T14:00:58Z	9	1498	43985	11638→3315	7500	7500
s5_r2	5	2	2	2026-08-17T14:01:39Z	2026-08-17T14:01:47Z	8	1480	19580	12397→6416	7500	7500
s20_r2	20	2	3	2026-08-17T14:02:27Z	2026-08-17T14:02:35Z	8	31	134	13117→6450	7500	7500
s100_r2	100	2	4	2026-08-17T14:03:15Z	2026-08-17T14:03:23Z	8	0	0	12431→6933	7500	7500
s1_r2	1	2	5	2026-08-17T14:04:02Z	2026-08-17T14:04:13Z	11	1499	77972	6841→1193	7500	7500
s5_r3	5	3	1	2026-08-17T14:04:53Z	2026-08-17T14:05:02Z	9	1492	20701	12824→6436	7500	7500
s20_r3	20	3	2	2026-08-17T14:05:41Z	2026-08-17T14:05:49Z	8	41	215	12597→6372	7500	7500
s100_r3	100	3	3	2026-08-17T14:06:29Z	2026-08-17T14:06:36Z	7	0	0	12787→6163	7500	7500
s1_r3	1	3	4	2026-08-17T14:07:15Z	2026-08-17T14:07:27Z	12	1498	79471	6816→1203	7500	7500
s2_r3	2	3	5	2026-08-17T14:08:07Z	2026-08-17T14:08:16Z	9	1498	44854	12797→5395	7500	7500
s20_r4	20	4	1	2026-08-17T14:08:56Z	2026-08-17T14:09:03Z	7	40	180	12507→7098	7500	7500
s100_r4	100	4	2	2026-08-17T14:09:43Z	2026-08-17T14:09:51Z	8	0	0	12751→6257	7500	7500
s1_r4	1	4	3	2026-08-17T14:10:30Z	2026-08-17T14:10:42Z	12	1499	78691	6507→1125	7500	7500
s2_r4	2	4	4	2026-08-17T14:11:23Z	2026-08-17T14:11:33Z	10	1498	44318	11205→3683	7500	7500
s5_r4	5	4	5	2026-08-17T14:12:14Z	2026-08-17T14:12:22Z	8	1437	20759	12811→5675	7500	7500
s100_r5	100	5	1	2026-08-17T14:13:03Z	2026-08-17T14:13:11Z	8	0	0	12611→7337	7500	7500
s1_r5	1	5	2	2026-08-17T14:13:50Z	2026-08-17T14:14:02Z	12	1499	78780	6479→1147	7500	7500
s2_r5	2	5	3	2026-08-17T14:14:42Z	2026-08-17T14:14:52Z	10	1498	44625	12168→4692	7500	7500
s5_r5	5	5	4	2026-08-17T14:15:33Z	2026-08-17T14:15:41Z	8	1461	20162	12338→6614	7500	7500
