tag	level	attempts	errors	p50_ms	p95_ms	max_ms	max_gap_ms	ended_early
discard_s100	100	48	37	0	5	15	239.0000	no
s1_r1	1	74	58	0	5	6	212.0000	no
s2_r1	2	56	43	0	6	6	213.0000	no
s5_r1	5	51	39	0	6	15	226.0000	no
s20_r1	20	46	35	0	5	12	223.0000	no
s100_r1	100	54	42	0	5	11	223.0000	no
s2_r2	2	55	43	0	5	7	213.0000	no
s5_r2	5	49	38	0	6	9	215.0000	no
s20_r2	20	46	36	0	5	13	223.0000	no
s100_r2	100	45	35	0	5	14	248.0000	no
s1_r2	1	65	51	0	5	5	211.0000	no
s5_r3	5	48	38	0	7	9	248.0000	no
s20_r3	20	46	35	0	5	11	225.0000	no
s100_r3	100	46	36	0	5	15	226.0000	no
s1_r3	1	66	51	0	4	5	210.0000	no
s2_r3	2	55	43	0	5	5	213.0000	no
s20_r4	20	44	34	0	5	11	222.0000	no
s100_r4	100	45	35	0	6	11	225.0000	no
s1_r4	1	65	50	0	5	5	210.0000	no
s2_r4	2	59	46	0	6	7	214.0000	no
s5_r4	5	51	39	0	7	9	217.0000	no
s100_r5	100	46	35	0	5	15	226.0000	no
s1_r5	1	64	50	0	5	6	211.0000	no
s2_r5	2	60	46	0	6	7	214.0000	no
s5_r5	5	49	38	0	5	10	218.0000	no
