t_rel	session_idx	ms	outcome
0.031	1	193.98	ok
0.049	14	176.33	ok
0.039	5	186.36	ok
0.049	15	193.04	ok
0.041	7	202.76	ok
0.05	17	218.72	ok
0.049	16	219.81	ok
0.016	0	254.7	ok
0.039	6	234.83	ok
0.032	3	242.37	ok
0.031	2	248.59	ok
0.051	18	229.51	ok
0.045	9	247.61	ok
0.033	4	261.82	ok
0.053	20	242.71	ok
0.042	8	253.47	ok
0.047	13	248.95	ok
0.046	11	270.75	ok
0.056	25	261.69	ok
0.045	10	272.56	ok
0.055	23	263.08	ok
0.053	21	264.66	ok
0.056	26	261.87	ok
0.052	19	266.6	ok
0.046	12	272.69	ok
0.054	22	264.92	ok
0.058	28	273.82	ok
0.062	31	274.22	ok
0.062	32	274.01	ok
0.059	29	277.8	ok
0.055	24	281.52	ok
0.059	30	277.57	ok
0.057	27	279.61	ok
0.063	34	289.36	ok
0.064	35	293.68	ok
0.063	33	294.67	ok
0.064	36	298.13	ok
0.065	38	317.7	ok
0.064	37	322.45	ok
0.065	39	338.2	ok
0.066	41	361.35	ok
0.067	44	374.88	ok
0.067	43	375.8	ok
0.07	50	376.9	ok
0.067	42	381.11	ok
0.068	45	381.71	ok
0.066	40	388.25	ok
0.07	49	393.85	ok
0.071	52	397.92	ok
0.069	48	403.67	ok
0.069	47	409.89	ok
0.071	53	415.39	ok
0.068	46	426.58	ok
0.073	57	439.78	ok
0.072	56	440.76	ok
0.072	54	441.98	ok
0.071	51	443.62	ok
0.072	55	442.62	ok
0.074	59	472.92	ok
0.074	60	491.16	ok
0.098	105	581.43	ok
0.094	90	586.52	ok
0.086	66	594.42	ok
0.094	92	587.23	ok
0.093	88	588.71	ok
0.096	100	586.11	ok
0.073	58	609.38	ok
0.087	67	596.85	ok
0.093	87	591.14	ok
0.092	86	605.07	ok
0.075	61	622.98	ok
0.093	89	610.59	ok
0.097	102	607.38	ok
0.089	73	615.6	ok
0.095	95	610.83	ok
0.076	63	630.06	ok
0.094	91	612.34	ok
0.091	78	615.7	ok
