t_rel	session_idx	ms	outcome
0.011	1	232.37	ok
0.001	0	413.17	ok
0.027	4	467.95	ok
0.017	2	520.31	ok
0.031	5	507.04	ok
0.056	12	540.08	ok
0.057	13	538.66	ok
0.061	17	562.42	ok
0.044	9	588.49	ok
0.041	8	600.87	ok
0.041	7	601.58	ok
0.071	20	571.14	ok
0.061	16	587.67	ok
0.132	30	519.91	ok
0.044	10	607.72	ok
0.026	3	626.6	ok
0.121	24	530.89	ok
0.092	22	560.97	ok
0.082	21	571.24	ok
0.061	15	592.38	ok
0.116	23	537.64	ok
0.13	27	524.36	ok
0.058	14	596.84	ok
0.069	19	593.63	ok
0.044	11	618.11	ok
0.04	6	631.14	ok
0.065	18	606.96	ok
0.131	29	583.29	ok
0.129	25	600.16	ok
0.13	28	602.15	ok
0.133	31	608.36	ok
0.13	26	615.08	ok
0.15	40	661.99	ok
0.134	32	687.88	ok
0.135	35	687.5	ok
0.134	33	721.61	ok
0.26	55	597.99	ok
0.203	47	688.96	ok
0.201	43	691.76	ok
0.135	36	758.77	ok
0.202	44	699.65	ok
0.135	38	853.94	ok
0.258	51	731.44	ok
0.259	54	731.01	ok
0.203	46	787.73	ok
0.259	53	731.71	ok
0.135	37	855.76	ok
0.134	34	856.68	ok
0.161	41	829.93	ok
0.266	58	725.41	ok
0.202	45	789.9	ok
0.135	39	859.36	ok
0.241	49	757.87	ok
0.258	52	753.37	ok
0.191	42	820.74	ok
0.289	72	723.94	ok
0.291	78	721.68	ok
0.288	70	724.91	ok
0.215	48	798.15	ok
0.255	50	758.57	ok
0.285	66	729.0	ok
0.288	71	727.3	ok
0.266	56	752.7	ok
0.267	60	752.1	ok
0.266	57	753.03	ok
0.267	59	752.81	ok
0.291	76	730.18	ok
0.27	61	751.41	ok
0.275	62	747.05	ok
0.285	65	736.89	ok
0.288	69	734.15	ok
0.291	75	731.78	ok
0.285	64	747.01	ok
0.291	79	789.9	ok
0.287	67	812.73	ok
0.345	1	784.03	ok
0.537	2	592.02	ok
0.538	5	591.71	ok
0.288	68	841.98	ok
0.414	0	715.94	ok
0.596	12	534.38	ok
0.289	73	841.56	ok
0.28	63	850.57	ok
0.652	10	485.17	ok
0.495	4	642.46	ok
0.624	17	514.38	ok
0.29	74	848.07	ok
0.633	9	519.23	ok
0.652	30	521.61	ok
0.653	21	520.95	ok
0.653	22	521.38	ok
0.652	3	521.97	ok
0.642	7	539.34	ok
0.291	77	895.35	ok
0.655	14	548.73	ok
0.643	20	566.59	ok
0.654	23	570.69	ok
