block arm drop_ms rows_clean pages_clean rows_holed pages_holed
0 pclean 33.4 50000 10032 50000 16921
0 pholed 84.6 50000 10032 50000 16918
1 pholed 312.9 50000 10032 50000 16920
1 pclean 39.4 50000 10032 50000 16921
2 pclean 271.7 50000 10032 50000 16920
2 pholed 126.4 50000 10032 50000 16921
3 pholed 80.7 50000 10032 50000 16918
3 pclean 76.2 50000 10032 50000 16920
4 pclean 174.2 50000 10032 50000 16918
4 pholed 192.9 50000 10032 50000 16986
5 pholed 100.4 50000 10032 50000 16922
5 pclean 59.4 50000 10032 50000 16922
6 pclean 82.9 50000 10032 50000 16920
6 pholed 140.4 50000 10032 50000 16923
7 pholed 57.6 50000 10032 50000 16918
7 pclean 45.1 50000 10032 50000 16920
8 pclean 126.3 50000 10032 50000 16923
8 pholed 57.0 50000 10032 50000 16920
