ceiling level block ok internal other retried recovered exhausted rows
0 16 0 454 0 46 424 173 46 500
10 16 0 464 0 36 431 195 36 500
50 16 0 475 0 25 343 169 25 500
50j 16 0 472 0 28 390 199 28 500
10 16 1 453 0 47 441 177 47 500
50 16 1 487 0 13 314 178 13 500
50j 16 1 455 0 45 432 176 45 500
0 16 1 456 0 44 424 178 44 500
50 16 2 487 0 13 295 171 13 500
50j 16 2 486 0 14 309 168 14 500
0 16 2 446 0 54 467 180 54 500
10 16 2 452 0 48 445 182 48 500
50j 16 3 474 0 26 349 174 26 500
0 16 3 463 0 37 410 190 37 500
10 16 3 481 0 19 384 193 19 500
50 16 3 484 0 16 254 144 16 500
