ceiling level block ok internal other retried recovered exhausted rows
3 16 0 451 49 0 497 209 49 500
4 16 0 465 35 0 541 215 35 500
5 16 0 476 24 0 656 237 24 500
4 16 1 466 34 0 536 211 34 500
5 16 1 475 25 0 634 225 25 500
3 16 1 438 62 0 495 188 62 500
5 16 2 483 17 0 535 219 17 500
3 16 2 457 43 0 415 170 43 500
4 16 2 461 39 0 545 203 39 500
3 16 3 455 45 0 457 200 45 500
4 16 3 472 28 0 555 227 28 500
5 16 3 494 6 0 387 192 6 500
4 16 4 474 26 0 518 217 26 500
5 16 4 477 23 0 522 201 23 500
3 16 4 480 20 0 341 183 20 500
5 16 5 492 8 0 424 199 8 500
3 16 5 482 18 0 327 171 18 500
4 16 5 469 31 0 511 197 31 500
3 16 6 463 37 0 386 174 37 500
4 16 6 480 20 0 455 207 20 500
5 16 6 496 4 0 364 188 4 500
