ceiling level block ok internal other retried recovered exhausted rows
2 16 0 432 68 0 351 154 68 500
3 16 0 447 53 0 478 188 53 500
4 16 0 464 36 0 592 223 36 500
5 16 0 474 26 0 608 212 26 500
3 16 1 470 30 0 364 169 30 500
4 16 1 463 37 0 539 201 37 500
5 16 1 478 22 0 519 202 22 500
2 16 1 430 70 0 350 151 70 500
4 16 2 463 37 0 547 208 37 500
5 16 2 479 21 0 531 206 21 500
2 16 2 424 76 0 359 150 76 500
3 16 2 469 31 0 331 155 31 500
5 16 3 479 21 0 551 224 21 500
2 16 3 442 58 0 314 145 58 500
3 16 3 464 36 0 379 170 36 500
4 16 3 482 18 0 424 193 18 500
