# 팔 C — 계측의 양성 대조군 (설계 §2 팔 C)
# 인위로 정확히 5초를 만든다. 하트비트 지연이 ~5s 로 찍히면 이 rig 은 지연을 잡는다.
# 못 잡으면 아래 팔 A 의 «창이 짧다» 는 관측은 계측 실패와 구분되지 않는다.

sample     heartbeat_lag_s  Seconds_Behind_Source 
1          NA               4                     
2          8.84             10                    
3          9.97             11                    
4          10.75            4                     
5          8.71             8                     
6          7.42             7                     
7          11.50            8                     
8          7.67             8                     
9          11.25            7                     
10         7.00             8                     
11         10.81            6                     
12         10.11            7                     
