# Q4 — 반동기는 언제 조용히 비동기로 강등되는가
# 플러그인 계열: rpl_semi_sync_source (8.0.26+ 신 이름 / 구 이름 혼용 사고를 §7 이 경고한 자리)

## 강등 전
status=ON  timeout_ms=10000  clients=1

## 리플리카를 죽인다 — 소스는 계속 쓴다
t_s      status     yes_tx   no_tx    write_ms      
12.3     OFF        0        1        10658.1       
15.0     OFF        0        2        427.5         
17.7     OFF        0        3        423.1         
20.7     OFF        0        4        451.8         
27.0     OFF        0        5        574.6         
31.5     OFF        0        6        830.5         
36.0     OFF        0        7        952.7         
39.9     OFF        0        8        742.9         
43.4     OFF        0        9        699.8         
46.8     OFF        0        10       631.2         
50.4     OFF        0        11       611.1         
53.7     OFF        0        12       558.5         
56.9     OFF        0        13       581.8         
64.4     OFF        0        14       2647.0        
71.1     OFF        0        15       1462.7        
75.2     OFF        0        16       810.7         
85.0     OFF        0        17       1987.1        
89.1     OFF        0        18       643.9         
94.6     OFF        0        19       886.0         
99.4     OFF        0        20       1132.9        

## 리플리카를 되살린다
복귀 후 status=OFF  clients=0
