round	arm	payload	kind	status	dur_s	tx_n	tps	c_p50_us	c_p95_us	c_p99_us	c_max_us	lag_n	lag_p50_us	lag_p95_us	lag_max_us	sbs_p50	sbs_max	semi_status	yes_tx_d	no_tx_d	catchup_s	rows_before
1	A	multi	discard	OK	180	357054	1983.6	7220	11430	18595	52452	134	64138493	118271200	124282012	64	125	OFF	0	0	0	10000000
2	B	multi	discard	OK	180	334269	1857.0	7689	12868	19686	56182	134	58618362	112227943	118244399	59	118	ON	68010	0	373	18926350
3	A	multi	main	OK	180	355136	1973.0	7236	11436	18308	59749	133	61131737	116264753	122279608	61	122	OFF	0	0	337	27283075
4	B	multi	main	OK	180	334520	1858.4	7672	12816	19539	68697	133	58133449	112255643	118268498	59	118	ON	68113	0	365	36161475
5	B	multi	main	OK	180	333851	1854.7	7649	13113	20268	58018	133	57120277	111267650	117278950	58	117	ON	68344	0	335	44524475
6	A	multi	main	OK	180	354539	1969.7	7250	11515	18387	59482	133	60140193	115786172	122302132	61	122	OFF	0	0	335	52870750
7	A	multi	main	OK	180	356748	1981.9	7199	11500	18529	64345	133	60173461	116325407	121335661	61	122	OFF	0	0	366	61734225
8	B	multi	main	OK	180	334121	1856.2	7678	12928	20051	61381	133	57161650	111291411	116309180	58	117	ON	68384	0	366	70652925
9	A	hot	main	OK	180	50260	279.2	53525	59144	64590	119182	136	21045977	39074020	40576224	21	41	OFF	0	0	334	79005950
10	B	hot	main	OK	180	45068	250.4	59847	65474	71436	135595	136	11024384	21545168	22546498	11	23	ON	45250	0	46	80262450
