DIGEST_TEXT	COUNT_STAR	sum_s	SUM_ROWS_EXAMINED
CALL `replprobe` . `load_run` (...)	150	27001.39635896	0
SELECT COUNT ( * ) FROM `shadowfit` . `pose_data_scale`	19	58.616759991	0
CREATE INDEX `idx_session_timestamp` ON `pose_data_scale` ( `session_id` , `timestamp_sec` )	2	47.118534411	0
INSERT INTO `pose_data_scale` ( `session_id` , `timestamp_sec` , `joint_coordinates` , `sync_rate` , `is_correct` , `feedback_message` , `created_at` ) SELECT `s` . `n` + ? , `r` . `n` * ?, ... , TIMESTAMP (?) + INTERVAL ( `s` . `n` * ? ) SQL_TSI_MINUTE + INTERVAL `FLOOR` ( `r` . `n` * ? ) SQL_TSI_SECOND FROM `_seq` `s` CROSS JOIN `_seq` `r` WHERE `s` . `n` >= ? AND `s` . `n` < ? AND `r` . `n` < ?	15	43.201883845	24716
SET GLOBAL `rpl_semi_sync_source_enabled` = ?	17	2.43524665	0
SELECT `VARIABLE_VALUE` FROM `performance_schema` . `global_status` WHERE `VARIABLE_NAME` = ?	4226	1.058351761	4226
INSERT INTO `_seq` WITH `d` AS ( SELECT ? `n` UNION SELECT ? UNION SELECT ? UNION SELECT ? UNION SELECT ? UNION SELECT ? UNION SELECT ? UNION SELECT ? UNION SELECT ? UNION SELECT ? ) SELECT `d0` . `n` + `d1` . `n` * ? + `d2` . `n` * ? + `d3` . `n` * ? + `d4` . `n` * ? FROM `d` `d0` , `d` `d1` , `d` `d2` , `d` `d3` , `d` `d4`	2	0.913605954	100
SELECT COUNT ( * ) FROM `pose_data_scale`	2	0.762609892	0
SELECT @@`version_comment` LIMIT ?	7329	0.397245231	7329
CREATE TABLE IF NOT EXISTS `pose_data` ( `id` INT8 AUTO_INCREMENT , `session_id` INT8 NOT NULL , `rep_number` INTEGER NOT NULL DEFAULT ? , `timestamp_sec` DECIMAL (...) NOT NULL , `joint_coordinates` JSON NOT NULL , `sync_rate` DECIMAL (...) NOT NULL , `smoothed_knee_angle` DECIMAL (...) NOT NULL DEFAULT ? , `feedback_message` VARCHARACTER (?) , `created_at` TIMESTAMP DEFAULT NOW , PRIMARY KEY ( `id` , `created_at` ) , INDEX `idx_session_timestamp` ( `session_id` , `timestamp_sec` ) ) PARTITION BY RANGE ( `UNIX_TIMESTAMP` ( `created_at` ) ) ( PARTITION `p2026_01` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_02` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_03` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_04` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_05` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_06` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_07` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_08` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_09` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_10` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_11` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_12` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2027_01` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `pfuture` VALUES LESS THAN MAXVALUE )	1	0.220093374	0
SELECT `beat_us` FROM `replprobe` . `heartbeat` WHERE `id` = ?	2775	0.215482264	2775
ALTER TABLE `pose_data` ADD UNIQUE KEY `uk_pose_event` ( `session_id` , `rep_number` , `timestamp_sec` , `created_at` )	1	0.091739045	0
ALTER TABLE `exercise_sessions` ADD COLUMN `session_nonce` VARCHARACTER (?) NULL COMMENT ?	1	0.050798116	0
CREATE TABLE `_seq` ( `n` INTEGER PRIMARY KEY )	2	0.044522801	0
SELECT ? `k` , COUNT ( * ) `v` FROM `reports` UNION ALL SELECT ? , COUNT ( * ) FROM `reports` WHERE `detailed_analysis` IS NOT NULL UNION ALL SELECT ? , COUNT ( * ) FROM `pose_data` UNION ALL SELECT ? , COUNT ( * ) FROM `exercise_sessions`	1	0.043459492	0
CREATE TABLE `pose_data_scale` ( `id` INT8 NOT NULL AUTO_INCREMENT , `session_id` INT8 NOT NULL , `timestamp_sec` FLOAT8 NOT NULL , `joint_coordinates` TEXT COLLATE `utf8mb4_unicode_ci` NOT NULL , `sync_rate` FLOAT8 DEFAULT ? , `is_correct` TINYINT (?) DEFAULT ? , `feedback_message` VARCHARACTER (?) COLLATE `utf8mb4_unicode_ci` DEFAULT ? , `created_at` TIMESTAMP NOT NULL DEFAULT NOW , PRIMARY KEY ( `id` , `created_at` ) ) ENGINE = `InnoDB` DEFAULT CHARSET = `utf8mb4` COLLATE = `utf8mb4_unicode_ci`	2	0.043028279	0
CREATE TABLE IF NOT EXISTS `exercise_sessions` ( `id` INT8 AUTO_INCREMENT PRIMARY KEY , `member_id` INT8 NOT NULL , `exercise_id` INT8 NOT NULL , `reference_source` VARCHARACTER (?) , `start_time` DATETIME NOT NULL , `end_time` DATETIME , `last_active_at` DATETIME , `total_reps` INTEGER DEFAULT ? , `avg_sync_rate` DECIMAL (...) , `max_sync_rate` DECIMAL (...) , `min_sync_rate` DECIMAL (...) , `calories_burned` DECIMAL (...) , `difficulty_level` INTEGER DEFAULT ? , STATUS ENUM (...) DEFAULT ? , `version` INT8 NOT NULL DEFAULT ? , `created_at` TIMESTAMP DEFAULT NOW , FOREIGN KEY ( `member_id` ) REFERENCES `users` ( `id` ) ON DELETE CASCADE , FOREIGN KEY ( `exercise_id` ) REFERENCES `exercises` ( `id` ) , INDEX `idx_session_member_status_start` ( `member_id` , STATUS , `start_time` ) , INDEX `idx_session_member_exercise_status_start` ( `member_id` , `exercise_id` , STATUS , `start_time` ) , INDEX `idx_session_status_starttime` ( STATUS , `start_time` ) , INDEX `idx_session_starttime_member` ( `start_time` , `member_id` ) )	1	0.040080977	0
DROP TABLE IF EXISTS `_seq`	4	0.035784275	0
INSERT INTO `replprobe` . `session_probe` ( `id` , `version` ) VALUES (...) ON DUPLICATE KEY UPDATE `version` = `version` + ?	7	0.034274214	0
ALTER TABLE `session_feedback_logs` ADD COLUMN `rep_number` INTEGER NOT NULL DEFAULT ? AFTER `session_id`	1	0.033935636	0
