tag	rps	rows_s	p50_ms	p95_ms	p99_ms	fail	total	commits	fsyncs	fsync_s	log_bytes
s1_r1	266.7	1333.5	371	395	425	0	30000	183229	83865	710.7	494850560
s2_r1	435.1	2175.5	228	250	392	0	30000	182120	62047	838.5	495389696
s5_r1	729.3	3646.5	134	156	242	0	30000	181461	33648	715.9	607121920
s10_r1	1031.5	5157.5	90	118	277	0	30000	181215	19830	566.6	632323072
s20_r1	1070.8	5354.0	85	108	236	0	30000	181454	17392	527.0	640803328
s50_r1	1082.7	5413.5	84	110	261	0	30000	182329	17090	517.9	643555840
s2_r2	435.8	2179.0	228	254	411	0	30000	182107	61837	835.6	497198592
s5_r2	731.5	3657.5	134	156	242	0	30000	181456	33593	730.3	609938432
s10_r2	1013.2	5066.0	89	114	393	0	30000	181241	19775	549.3	636748288
s20_r2	1067.4	5337.0	84	112	441	0	30000	181449	17325	525.0	645051392
s50_r2	1050.7	5253.5	85	111	529	0	30000	182323	17109	503.2	645229568
s1_r2	265.5	1327.5	374	394	429	0	30000	183255	84211	707.7	495622656
s5_r3	729.4	3647.0	135	155	243	0	30000	181465	33561	714.1	607430656
s10_r3	1014.4	5072.0	89	119	403	0	30000	181304	19684	504.7	637195264
s20_r3	1029.5	5147.5	84	144	395	0	30000	181494	17287	480.2	643750400
s50_r3	1031.0	5155.0	84	121	549	0	30000	182392	17002	485.8	644652544
s1_r3	265.0	1325.0	374	397	431	0	30000	183260	84210	707.6	495087104
s2_r3	434.3	2171.5	228	251	295	0	30000	182120	62275	830.3	498575872
s10_r4	925.0	4625.0	89	241	471	0	30000	181284	19586	489.6	639299072
s20_r4	1051.3	5256.5	84	113	431	0	30000	181491	17204	506.0	644191232
s50_r4	1042.6	5213.0	86	112	390	0	30000	182338	17203	491.5	645211136
s1_r4	267.3	1336.5	371	393	430	0	30000	183233	83883	710.9	495101952
s2_r4	436.0	2180.0	228	250	410	0	30000	182115	61747	823.3	494348288
s5_r4	730.2	3651.0	134	158	241	0	30000	181464	33481	712.4	607499264
s20_r5	1016.9	5084.5	84	113	500	0	30000	181513	17303	494.4	644255744
s50_r5	1010.9	5054.5	84	114	584	0	30000	182443	17125	489.3	645519360
s1_r5	267.1	1335.5	371	394	423	0	30000	183243	83935	705.3	494804480
s2_r5	434.4	2172.0	228	253	398	0	30000	182125	62120	839.5	495598080
s5_r5	728.9	3644.5	135	156	242	0	30000	181460	33739	717.9	608245248
s10_r5	34.6	173.0	89	152	497	4200	30000	156875	17250	19.8	552949760
s50_r6	984.0	4920.0	84	123	607	0	30000	182447	16956	471.0	645131264
s1_r6	267.1	1335.5	371	394	428	0	30000	183230	84062	712.4	495372288
s2_r6	433.4	2167.0	228	254	401	0	30000	182130	62085	827.8	494646272
s5_r6	729.1	3645.5	134	159	242	0	30000	181460	33493	712.6	605659648
s10_r6	1010.3	5051.5	89	122	352	0	30000	181229	20117	558.8	641677312
s20_r6	1053.1	5265.5	85	114	385	0	30000	181453	17151	504.4	644683264
