tag	level	rep	pos	t0_utc	t1_utc	secs	row_lock_waits	row_lock_time_ms	dirty_pages	rows_inserted	rows_expected
discard_s50	50	0	0	2026-08-17T14:51:26Z	2026-08-17T14:52:06Z	40	73	262	9541→4044	150000	150000
s1_r1	1	1	1	2026-08-17T14:52:51Z	2026-08-17T14:54:49Z	118	29999	1527191	2556→646	150000	150000
s2_r1	2	1	2	2026-08-17T14:55:34Z	2026-08-17T14:56:48Z	74	29995	851474	9232→930	150000	150000
s5_r1	5	1	3	2026-08-17T14:57:36Z	2026-08-17T14:58:23Z	47	29052	352868	9698→1427	150000	150000
s10_r1	10	1	4	2026-08-17T14:59:07Z	2026-08-17T14:59:42Z	35	19483	76260	6430→2365	150000	150000
s20_r1	20	1	5	2026-08-17T15:00:27Z	2026-08-17T15:01:00Z	33	1401	5988	5851→2155	150000	150000
s50_r1	50	1	6	2026-08-17T15:01:45Z	2026-08-17T15:02:18Z	33	36	129	3161→2546	150000	150000
s2_r2	2	2	1	2026-08-17T15:03:04Z	2026-08-17T15:04:18Z	74	29986	847767	6046→875	150000	150000
s5_r2	5	2	2	2026-08-17T15:05:05Z	2026-08-17T15:05:51Z	46	29170	352030	9256→1361	150000	150000
s10_r2	10	2	3	2026-08-17T15:06:36Z	2026-08-17T15:07:12Z	36	19433	75585	6887→1972	150000	150000
s20_r2	20	2	4	2026-08-17T15:07:57Z	2026-08-17T15:08:30Z	33	1447	6538	6222→2131	150000	150000
s50_r2	50	2	5	2026-08-17T15:09:17Z	2026-08-17T15:09:51Z	34	36	107	5269→2504	150000	150000
s1_r2	1	2	6	2026-08-17T15:10:35Z	2026-08-17T15:12:34Z	119	29999	1533095	3013→472	150000	150000
s5_r3	5	3	1	2026-08-17T15:13:27Z	2026-08-17T15:14:14Z	47	28965	353464	9420→1492	150000	150000
s10_r3	10	3	2	2026-08-17T15:15:02Z	2026-08-17T15:15:41Z	39	19487	74910	5108→1065	150000	150000
s20_r3	20	3	3	2026-08-17T15:16:40Z	2026-08-17T15:17:16Z	36	1545	7524	6610→1653	150000	150000
s50_r3	50	3	4	2026-08-17T15:18:02Z	2026-08-17T15:18:37Z	35	41	127	3519→1084	150000	150000
s1_r3	1	3	5	2026-08-17T15:19:23Z	2026-08-17T15:21:22Z	119	29998	1536495	2177→479	150000	150000
s2_r3	2	3	6	2026-08-17T15:22:08Z	2026-08-17T15:23:23Z	75	29995	853152	9373→877	150000	150000
s10_r4	10	4	1	2026-08-17T15:24:08Z	2026-08-17T15:24:48Z	40	19690	74747	7901→1851	150000	150000
s20_r4	20	4	2	2026-08-17T15:25:32Z	2026-08-17T15:26:06Z	34	1482	6602	3777→1049	150000	150000
s50_r4	50	4	3	2026-08-17T15:26:55Z	2026-08-17T15:27:30Z	35	33	115	3546→2089	150000	150000
s1_r4	1	4	4	2026-08-17T15:28:15Z	2026-08-17T15:30:13Z	118	29999	1523509	3023→210	150000	150000
s2_r4	2	4	5	2026-08-17T15:31:00Z	2026-08-17T15:32:15Z	75	29993	849589	7765→940	150000	150000
s5_r4	5	4	6	2026-08-17T15:33:01Z	2026-08-17T15:33:48Z	47	29140	352556	9754→1490	150000	150000
s20_r5	20	5	1	2026-08-17T15:34:32Z	2026-08-17T15:35:07Z	35	1337	5850	7121→1977	150000	150000
s50_r5	50	5	2	2026-08-17T15:35:58Z	2026-08-17T15:36:33Z	35	45	167	5214→3373	150000	150000
s1_r5	1	5	3	2026-08-17T15:37:18Z	2026-08-17T15:39:17Z	119	29999	1524346	2193→207	150000	150000
s2_r5	2	5	4	2026-08-17T15:40:02Z	2026-08-17T15:41:16Z	74	29995	852908	9579→860	150000	150000
s5_r5	5	5	5	2026-08-17T15:42:03Z	2026-08-17T15:42:50Z	47	29011	353984	9602→1518	150000	150000
s10_r5	10	5	6	2026-08-17T15:43:37Z	2026-08-17T15:58:10Z	873	17084	4213644	5535→2582	129575	150000
s50_r6	50	6	1	2026-08-17T15:58:53Z	2026-08-17T15:59:29Z	36	40	153	6345→2380	150000	150000
s1_r6	1	6	2	2026-08-17T16:00:13Z	2026-08-17T16:02:11Z	118	29998	1523725	2435→407	150000	150000
s2_r6	2	6	3	2026-08-17T16:02:55Z	2026-08-17T16:04:10Z	75	29988	855492	9538→856	150000	150000
s5_r6	5	6	4	2026-08-17T16:04:55Z	2026-08-17T16:05:42Z	47	28990	352897	8846→1676	150000	150000
s10_r6	10	6	5	2026-08-17T16:06:26Z	2026-08-17T16:07:02Z	36	19570	74758	7127→1925	150000	150000
s20_r6	20	6	6	2026-08-17T16:07:47Z	2026-08-17T16:08:21Z	34	1449	6648	3998→1645	150000	150000
