tag	level	attempts	errors	p50_ms	p95_ms	max_ms	max_gap_ms	ended_early
discard_s50	50	177	0	8	214	918	1122.0000	no
s1_r1	1	575	0	4	6	46	268.0000	no
s2_r1	2	367	0	5	7	43	248.0000	no
s5_r1	5	231	0	6	8	18	232.0000	no
s10_r1	10	173	0	7	10	215	424.0000	no
s20_r1	20	162	0	7	14	618	830.0000	no
s50_r1	50	164	0	7	12	367	574.0000	no
s2_r2	2	362	0	5	7	53	263.0000	no
s5_r2	5	230	0	6	8	30	236.0000	no
s10_r2	10	174	0	7	12	416	633.0000	no
s20_r2	20	163	0	7	14	417	629.0000	no
s50_r2	50	163	0	7	12	522	729.0000	no
s1_r2	1	599	0	4	6	25	231.0000	no
s5_r3	5	234	0	6	9	28	237.0000	no
s10_r3	10	207	0	6	11	315	522.0000	no
s20_r3	20	168	0	7	29	364	626.0000	no
s50_r3	50	169	0	7	14	420	625.0000	no
s1_r3	1	581	0	4	6	56	261.0000	no
s2_r3	2	365	0	5	7	18	246.0000	no
s10_r4	10	175	0	7	162	420	632.0000	no
s20_r4	20	178	0	7	16	367	578.0000	no
s50_r4	50	166	0	7	14	516	721.0000	no
s1_r4	1	578	0	4	6	38	241.0000	no
s2_r4	2	364	0	5	7	28	238.0000	no
s5_r4	5	230	0	6	9	24	230.0000	no
s20_r5	20	171	0	8	24	415	620.0000	no
s50_r5	50	166	0	8	22	416	620.0000	no
s1_r5	1	578	0	4	6	36	241.0000	no
s2_r5	2	365	0	5	7	36	240.0000	no
s5_r5	5	233	0	6	9	21	229.0000	no
s10_r5	10	155	0	7	11	839928	840132.0000	no
s50_r6	50	165	0	7	94	521	731.0000	no
s1_r6	1	576	0	4	6	26	231.0000	no
s2_r6	2	366	0	5	7	29	234.0000	no
s5_r6	5	231	0	6	9	23	257.0000	no
s10_r6	10	175	0	7	20	314	518.0000	no
s20_r6	20	162	0	7	18	523	734.0000	no
