t_rel	session_idx	ms	outcome
0.017	1	172.34	ok
0.018	3	188.16	ok
0.019	4	241.02	ok
0.001	0	260.03	ok
0.026	7	277.55	ok
0.032	8	314.64	ok
0.034	13	329.52	ok
0.033	11	330.32	ok
0.051	19	312.5	ok
0.033	10	339.59	ok
0.018	2	361.91	ok
0.055	21	343.61	ok
0.045	17	357.28	ok
0.034	12	412.56	ok
0.024	5	432.24	ok
0.025	6	431.87	ok
0.056	23	442.29	ok
0.033	9	465.93	ok
0.041	16	463.59	ok
0.049	18	486.7	ok
0.036	14	499.87	ok
0.056	25	492.14	ok
0.06	30	490.58	ok
0.076	34	475.15	ok
0.076	35	475.49	ok
0.058	27	493.73	ok
0.039	15	518.93	ok
0.059	28	499.72	ok
0.052	20	506.59	ok
0.055	22	504.19	ok
0.077	36	538.72	ok
0.065	31	552.53	ok
0.057	26	561.26	ok
0.077	37	542.75	ok
0.075	33	545.33	ok
0.078	39	545.07	ok
0.078	38	558.35	ok
0.075	32	576.4	ok
0.079	43	572.32	ok
0.085	45	567.27	ok
0.056	24	596.7	ok
0.086	47	569.13	ok
0.059	29	596.38	ok
0.085	46	577.75	ok
0.095	49	569.98	ok
0.08	44	585.81	ok
0.079	42	587.2	ok
0.079	40	588.22	ok
0.079	41	600.27	ok
0.086	48	593.36	ok
0.352	1	342.27	ok
0.101	50	593.25	ok
0.36	7	335.64	ok
0.336	0	361.07	ok
0.103	51	595.71	ok
0.105	52	594.34	ok
0.365	3	347.88	ok
0.368	4	350.86	ok
0.367	11	352.22	ok
0.365	8	362.89	ok
0.369	13	404.28	ok
0.373	10	400.93	ok
0.402	17	406.13	ok
0.385	19	424.15	ok
0.38	2	436.64	ok
0.399	21	431.44	ok
0.446	12	397.87	ok
0.457	6	391.36	ok
0.457	5	393.74	ok
0.499	9	356.37	ok
0.498	23	357.51	ok
0.536	14	324.58	ok
0.504	16	357.64	ok
0.535	18	337.56	ok
0.551	34	323.06	ok
0.558	15	337.52	ok
0.55	30	349.74	ok
0.552	27	348.32	ok
0.559	28	342.2	ok
0.549	25	352.54	ok
0.559	20	344.71	ok
0.552	35	352.8	ok
0.618	31	293.98	ok
0.618	26	293.59	ok
0.56	22	367.12	ok
0.652	43	278.51	ok
0.637	38	293.71	ok
0.624	39	307.4	ok
0.651	32	279.73	ok
0.62	37	310.95	ok
0.616	36	317.71	ok
0.621	33	319.29	ok
0.655	47	299.99	ok
0.663	46	330.83	ok
0.656	29	338.67	ok
0.665	49	331.91	ok
0.667	40	330.23	ok
0.652	45	345.32	ok
0.666	44	351.52	ok
0.653	24	364.97	ok
0.666	42	351.69	ok
0.695	50	358.38	ok
0.713	3	344.0	ok
0.719	4	346.81	ok
0.699	51	367.15	ok
0.68	48	386.7	ok
0.679	41	387.68	ok
0.699	52	371.04	ok
0.697	0	387.69	ok
0.695	7	393.0	ok
0.844	12	248.51	ok
0.719	11	373.98	ok
0.728	8	365.63	ok
0.817	2	277.33	ok
0.773	13	321.06	ok
0.851	5	243.71	ok
0.774	10	341.47	ok
0.694	1	428.64	ok
0.855	9	268.45	ok
0.849	6	275.45	ok
0.856	23	273.51	ok
0.808	17	320.81	ok
0.809	19	320.34	ok
0.87	14	259.92	ok
0.83	21	314.02	ok
0.873	18	277.44	ok
0.901	27	252.53	ok
0.9	30	253.33	ok
0.885	34	269.76	ok
0.862	16	295.77	ok
0.901	28	257.57	ok
0.904	20	274.23	ok
0.904	35	274.0	ok
0.901	25	277.37	ok
0.896	15	292.1	ok
0.927	22	261.69	ok
0.954	37	285.53	ok
0.965	39	274.65	ok
0.955	33	286.05	ok
0.955	31	288.82	ok
0.975	38	269.79	ok
0.964	26	281.57	ok
0.949	36	296.18	ok
0.985	32	284.87	ok
0.992	47	283.33	ok
0.994	29	280.79	ok
1.0	40	276.98	ok
