t_rel	session_idx	ms	outcome
0.004	1	109.54	ok
0.018	10	96.23	ok
0.005	3	112.66	ok
0.005	4	122.32	ok
0.003	0	137.07	ok
0.021	12	119.07	ok
0.004	2	144.88	ok
0.027	20	128.04	ok
0.018	9	139.0	ok
0.024	17	133.68	ok
0.024	16	136.92	ok
0.005	5	165.1	ok
0.035	34	138.1	ok
0.032	26	142.13	ok
0.011	8	164.66	ok
0.048	37	135.54	ok
0.023	13	162.35	ok
0.031	25	162.93	ok
0.024	18	170.22	ok
0.006	6	189.68	ok
0.027	21	168.98	ok
0.032	27	169.37	ok
0.031	24	170.66	ok
0.061	41	142.4	ok
0.084	49	172.42	ok
0.026	19	235.31	ok
0.034	32	238.47	ok
0.023	14	249.27	ok
0.02	11	253.18	ok
0.024	15	274.65	ok
0.082	48	216.2	ok
0.033	31	292.89	ok
0.051	38	282.6	ok
0.115	68	219.48	ok
0.033	29	301.87	ok
0.036	35	301.24	ok
0.007	7	339.61	ok
0.032	28	315.51	ok
0.03	22	319.61	ok
0.086	52	263.98	ok
0.123	73	227.37	ok
0.088	55	262.41	ok
0.035	33	316.29	ok
0.077	43	276.96	ok
0.171	93	183.31	ok
0.054	39	305.24	ok
0.031	23	328.54	ok
0.116	70	246.69	ok
0.099	58	263.59	ok
0.054	40	311.93	ok
0.181	95	185.5	ok
0.1	59	275.0	ok
0.081	47	293.79	ok
0.087	53	307.89	ok
0.126	74	268.86	ok
0.157	90	250.87	ok
0.08	45	331.51	ok
0.067	42	349.19	ok
0.078	44	343.19	ok
0.036	36	385.94	ok
0.1	61	326.08	ok
0.081	46	345.81	ok
0.211	100	215.74	ok
0.129	76	299.37	ok
0.11	65	324.74	ok
0.085	50	351.19	ok
0.13	78	314.43	ok
0.202	99	242.31	ok
0.12	72	325.25	ok
0.086	51	359.55	ok
0.109	64	338.34	ok
0.161	91	286.48	ok
0.096	57	351.94	ok
0.033	30	415.45	ok
0.138	81	311.06	ok
0.087	54	374.16	ok
0.144	84	332.17	ok
0.189	96	294.07	ok
0.111	67	384.15	ok
0.251	109	244.67	ok
0.157	89	339.61	ok
0.256	112	259.16	ok
0.111	66	404.07	ok
0.277	120	238.78	ok
0.336	0	179.65	ok
0.228	102	287.53	ok
0.115	69	400.95	ok
0.1	60	416.66	ok
0.149	87	369.33	ok
0.108	63	410.8	ok
0.13	77	389.85	ok
0.144	86	375.71	ok
0.256	113	264.68	ok
0.096	56	425.27	ok
0.127	75	395.1	ok
0.135	80	387.82	ok
0.257	115	266.62	ok
0.144	85	380.14	ok
0.229	103	298.39	ok
0.15	88	378.09	ok
0.231	106	298.04	ok
0.191	97	337.88	ok
0.143	83	385.92	ok
0.178	94	352.14	ok
0.221	101	309.25	ok
0.164	92	367.9	ok
0.23	104	311.37	ok
0.259	119	294.08	ok
0.116	71	436.48	ok
0.192	98	361.33	ok
0.255	110	299.15	ok
0.108	62	446.55	ok
0.258	117	306.73	ok
0.358	15	207.15	ok
0.23	105	334.84	ok
0.255	111	317.48	ok
0.321	135	258.54	ok
0.35	6	237.97	ok
0.347	5	242.52	ok
0.257	116	332.32	ok
0.279	125	310.73	ok
0.231	107	361.44	ok
0.278	122	314.51	ok
0.291	127	306.83	ok
0.279	124	318.93	ok
0.354	10	244.14	ok
0.3	130	298.0	ok
0.258	118	341.14	ok
0.3	129	300.27	ok
0.131	79	468.95	ok
0.231	108	369.53	ok
0.329	138	273.23	ok
0.139	82	463.46	ok
0.282	126	321.21	ok
0.32	133	288.62	ok
0.358	13	252.08	ok
0.319	132	291.4	ok
0.339	142	271.74	ok
0.278	121	333.22	ok
0.338	1	275.69	ok
0.321	136	293.13	ok
0.346	7	268.15	ok
0.257	114	357.88	ok
0.351	148	264.07	ok
0.299	128	316.29	ok
0.338	3	279.11	ok
0.336	141	281.04	ok
0.348	8	271.87	ok
0.321	134	299.66	ok
0.348	4	272.92	ok
0.301	131	320.67	ok
0.34	145	281.91	ok
0.417	42	205.84	ok
0.357	12	268.86	ok
0.367	31	260.4	ok
0.361	16	267.7	ok
0.453	72	185.61	ok
0.278	123	360.59	ok
0.349	147	293.46	ok
0.378	154	273.76	ok
0.353	11	300.62	ok
0.427	46	234.08	ok
0.362	19	299.45	ok
0.418	49	243.61	ok
0.329	139	332.27	ok
0.364	22	297.93	ok
0.42	52	242.21	ok
0.328	137	333.72	ok
0.339	2	323.75	ok
0.333	140	330.03	ok
0.34	143	327.12	ok
0.362	20	308.27	ok
0.358	18	314.02	ok
0.36	21	311.71	ok
0.422	44	260.67	ok
0.422	36	261.8	ok
0.357	14	329.44	ok
0.377	153	310.56	ok
0.445	51	242.11	ok
0.401	41	287.84	ok
0.364	152	325.05	ok
0.462	54	227.97	ok
0.449	30	240.97	ok
0.42	53	269.41	ok
0.36	17	330.35	ok
0.34	146	350.18	ok
0.433	59	257.75	ok
0.34	144	351.25	ok
0.363	151	328.83	ok
0.353	149	340.37	ok
0.437	50	257.14	ok
0.431	43	262.74	ok
0.352	9	342.58	ok
0.433	58	263.07	ok
0.45	70	245.54	ok
0.444	65	252.33	ok
0.497	89	199.82	ok
0.434	61	262.94	ok
0.455	68	246.04	ok
0.447	64	256.04	ok
0.448	57	256.95	ok
0.491	90	214.45	ok
0.519	87	191.58	ok
0.515	66	195.42	ratelimited
0.517	60	201.09	ok
0.367	28	350.82	ok
0.423	55	295.74	ok
0.513	93	206.47	ok
0.478	84	241.79	ok
0.516	69	205.86	ok
0.46	74	267.47	ok
0.473	81	256.41	ok
0.426	45	302.96	ok
0.52	77	210.19	ok
0.382	34	348.24	ok
0.457	73	274.59	ok
0.463	76	268.9	ok
0.362	150	372.84	ok
0.523	96	212.71	ok
0.522	75	216.12	ok
0.496	67	242.72	ok
0.524	85	214.24	ok
0.387	39	354.0	ok
0.519	63	222.33	ok
0.528	88	221.4	ok
0.52	86	230.87	ok
0.466	78	289.34	ok
0.421	48	334.3	ok
0.369	33	387.45	ok
0.521	95	257.55	ok
0.371	23	407.04	ok
0.523	80	256.02	ok
0.382	37	397.67	ok
0.495	91	286.36	ok
0.366	24	422.16	ok
0.53	94	261.6	ok
0.529	97	262.83	ok
0.37	35	428.13	ok
0.529	83	268.88	ok
0.381	26	417.1	ok
0.521	56	277.66	ok
0.536	99	267.47	ok
0.562	102	241.56	ok
0.365	25	443.56	ok
0.564	106	251.01	ok
0.6	79	215.26	ok
0.378	156	439.28	ok
0.383	157	435.5	ok
0.366	27	452.64	ok
0.394	159	424.58	ok
0.391	158	432.14	ok
0.385	38	439.66	ok
0.366	29	458.78	ok
0.532	92	293.88	ok
0.367	32	458.37	ok
0.624	127	202.38	ok
0.554	62	272.49	ok
0.599	118	227.53	ok
0.591	115	236.53	ok
0.585	109	242.49	ok
0.599	117	230.62	ok
0.545	100	285.05	ok
0.563	103	267.58	ok
0.601	108	232.93	ok
0.565	105	268.8	ok
0.615	114	219.43	ok
0.617	126	219.35	ok
0.612	120	224.88	ok
0.633	129	205.52	ok
0.589	111	253.91	ok
0.639	123	203.66	ok
0.555	101	300.31	ok
0.611	121	251.89	ok
0.603	82	260.84	ok
0.392	40	472.32	ok
0.589	112	275.21	ok
