t_rel	session_idx	ms	outcome
0.022	3	167.99	ok
0.052	10	265.09	ok
0.05	7	267.74	ok
0.017	1	311.89	ok
0.02	2	331.1	ok
0.103	15	248.77	ok
0.038	5	314.2	ok
0.052	9	300.33	ok
0.004	0	367.35	ok
0.037	4	354.83	ok
0.051	8	362.87	ok
0.078	14	337.18	ok
0.107	17	309.28	ok
0.072	11	365.96	ok
0.078	13	374.21	ok
0.106	16	377.52	ok
0.122	20	362.67	ok
0.109	19	418.04	ok
0.133	23	408.71	ok
0.077	12	507.9	ok
0.137	24	449.65	ok
0.139	28	448.39	ok
0.05	6	539.95	ok
0.164	33	430.66	ok
0.138	26	457.89	ok
0.162	31	434.69	ok
0.167	35	430.35	ok
0.142	30	455.3	ok
0.139	29	458.41	ok
0.137	25	460.87	ok
0.174	36	429.49	ok
0.108	18	498.31	ok
0.193	40	436.51	ok
0.138	27	491.66	ok
0.192	39	438.39	ok
0.187	38	443.88	ok
0.123	21	509.24	ok
0.133	22	499.9	ok
0.209	43	435.39	ok
0.165	34	487.2	ok
0.163	32	490.04	ok
0.194	42	488.12	ok
0.186	37	561.47	ok
0.215	45	533.49	ok
0.193	41	568.26	ok
0.222	46	540.04	ok
0.223	47	557.44	ok
0.242	51	543.37	ok
0.247	52	540.65	ok
0.353	2	435.36	ok
0.36	3	429.07	ok
0.212	44	577.67	ok
0.351	1	466.07	ok
0.386	7	431.73	ok
0.223	48	594.78	ok
0.382	5	445.71	ok
0.239	50	589.82	ok
0.392	4	436.81	ok
0.387	9	447.32	ok
0.232	49	611.49	ok
0.371	0	480.47	ok
0.388	10	464.44	ok
0.414	8	451.14	ok
0.439	15	432.61	ok
0.416	14	461.13	ok
0.438	11	474.67	ok
0.441	17	498.09	ok
0.484	16	457.91	ok
0.452	13	490.48	ok
0.596	26	360.86	ok
0.59	6	367.61	ok
0.585	12	372.38	ok
0.542	23	416.65	ok
0.597	31	362.77	ok
0.527	19	433.01	ok
0.485	20	475.74	ok
0.595	33	365.95	ok
0.587	24	377.85	ok
0.587	28	378.0	ok
0.598	30	369.59	ok
0.606	18	361.38	ok
0.598	29	369.77	ok
0.597	35	370.85	ok
0.598	25	369.94	ok
0.631	38	337.76	ok
0.604	36	365.46	ok
0.63	39	339.74	ok
0.63	27	364.55	ok
0.629	40	365.73	ok
0.645	43	387.17	ok
0.633	22	497.67	ok
0.788	52	343.07	ok
0.748	45	383.44	ok
0.653	32	489.53	ok
0.652	34	490.64	ok
0.632	21	510.92	ok
0.785	51	366.48	ok
0.789	2	363.27	ok
0.682	42	488.66	ok
0.762	41	433.83	ok
0.781	47	416.44	ok
0.762	46	435.39	ok
0.829	50	371.27	ok
0.79	44	417.23	ok
0.818	7	394.07	ok
0.748	37	465.47	ok
0.828	5	388.91	ok
0.789	3	433.67	ok
0.843	49	380.2	ok
0.817	1	406.99	ok
0.853	10	390.72	ok
0.835	9	416.64	ok
0.94	17	312.63	ok
0.829	4	423.39	ok
0.818	48	443.77	ok
0.871	15	397.26	ok
0.852	0	417.42	ok
0.865	8	435.62	ok
0.913	11	408.61	ok
0.957	26	365.11	ok
0.942	16	382.21	ok
0.943	13	412.46	ok
0.96	31	419.03	ok
0.965	24	414.97	ok
0.961	33	418.92	ok
0.959	23	421.46	ok
0.96	19	424.79	ok
0.877	14	508.73	ok
0.958	6	430.4	ok
0.967	30	425.19	ok
0.965	28	430.8	ok
0.96	20	436.62	ok
0.968	29	453.14	ok
0.97	36	452.44	ok
0.958	12	464.76	ok
0.968	18	456.18	ok
0.968	25	456.22	ok
0.97	39	459.12	ok
0.969	38	461.75	ok
0.968	35	463.75	ok
0.995	40	437.8	ok
0.995	27	438.94	ok
1.13	22	316.39	ok
1.153	32	299.07	ok
1.032	43	419.73	ok
1.152	45	304.51	ok
1.131	52	350.86	ok
1.153	34	351.83	ok
1.154	21	371.77	ok
1.171	42	371.17	ok
1.154	51	388.86	ok
1.155	2	395.54	ok
1.197	47	353.71	ok
1.196	41	371.92	ok
1.198	46	419.28	ok
1.2	50	435.12	ok
1.207	44	435.86	ok
1.212	7	434.76	ok
1.217	5	430.8	ok
1.213	37	447.48	ok
1.223	3	464.2	ok
1.224	49	464.39	ok
1.262	48	431.0	ok
1.253	4	441.14	ok
1.224	1	470.68	ok
1.271	0	424.9	ok
1.243	10	452.9	ok
1.273	17	425.13	ok
1.322	11	377.12	ok
1.269	15	430.41	ok
1.252	9	447.84	ok
1.301	8	407.81	ok
1.322	26	402.76	ok
1.324	16	401.63	ok
1.379	31	365.21	ok
1.356	13	393.32	ok
1.38	33	372.29	ok
1.381	23	412.88	ok
1.385	19	448.48	ok
1.388	6	456.8	ok
1.386	14	472.89	ok
1.38	24	491.06	ok
1.397	20	480.22	ok
1.423	12	455.38	ok
1.396	28	498.7	ok
1.433	40	468.56	ok
1.424	18	479.73	ok
1.393	30	530.1	ok
1.43	39	493.78	ok
1.452	43	471.66	ok
1.431	38	507.26	ok
1.421	29	517.71	ok
