t_rel	session_idx	ms	outcome
0.025	27	148.87	ok
0.004	1	179.58	ok
0.029	31	154.59	ok
0.026	28	157.68	ok
0.017	9	177.17	ok
0.035	38	160.15	ok
0.021	20	179.64	ok
0.005	3	197.44	ok
0.03	32	172.98	ok
0.007	6	197.36	ok
0.031	33	178.98	ok
0.027	29	185.09	ok
0.019	12	193.45	ok
0.016	8	196.35	ok
0.019	13	193.8	ok
0.033	35	182.01	ok
0.02	17	198.6	ok
0.018	11	200.57	ok
0.006	5	213.52	ok
0.021	19	233.95	ok
0.038	41	218.65	ok
0.04	44	232.34	ok
0.019	14	279.2	ok
0.004	2	299.57	ok
0.033	36	281.28	ok
0.027	30	292.49	ok
0.005	4	317.07	ok
0.043	48	343.54	ok
0.021	21	365.83	ok
0.032	34	372.0	ok
0.056	54	374.13	ok
0.037	40	395.18	ok
0.214	129	229.49	ok
0.003	0	441.01	ok
0.02	18	430.72	ok
0.02	15	432.3	ok
0.054	51	398.96	ok
0.071	60	382.57	ok
0.018	10	440.59	ok
0.014	7	449.36	ok
0.034	37	430.75	ok
0.182	120	286.79	ok
0.055	53	431.24	ok
0.186	121	301.33	ok
0.054	52	433.08	ok
0.023	25	464.32	ok
0.043	49	445.05	ok
0.069	58	419.37	ok
0.22	130	273.68	ok
0.084	63	411.99	ok
0.036	39	460.08	ok
0.141	100	358.59	ok
0.197	123	309.56	ok
0.066	55	445.72	ok
0.039	43	473.53	ok
0.042	46	471.58	ok
0.024	26	495.15	ok
0.067	56	453.31	ok
0.113	72	410.97	ok
0.039	42	485.83	ok
0.158	111	367.55	ok
0.068	57	458.15	ok
0.213	128	317.73	ok
0.197	122	334.45	ok
0.023	23	509.05	ok
0.072	61	462.08	ok
0.02	16	515.18	ok
0.153	109	382.13	ok
0.198	124	337.24	ok
0.199	126	336.56	ok
0.199	125	344.87	ok
0.154	110	403.43	ok
0.022	22	535.94	ok
0.042	47	515.98	ok
0.225	131	333.38	ok
0.148	104	411.46	ok
0.071	59	488.87	ok
0.102	65	469.4	ok
0.116	74	457.03	ok
0.104	66	481.56	ok
0.136	99	450.19	ok
0.229	133	357.39	ok
0.132	87	455.21	ok
0.147	103	440.26	ok
0.168	117	420.5	ok
0.227	132	361.52	ok
0.041	45	548.2	ok
0.132	88	459.46	ok
0.047	50	546.74	ok
0.144	101	450.74	ok
0.167	116	430.89	ok
0.023	24	575.63	ok
0.115	73	490.36	ok
0.097	64	512.09	ok
0.123	83	497.58	ok
0.237	135	385.11	ok
0.135	95	489.68	ok
0.23	134	395.25	ok
0.164	114	462.51	ok
0.135	96	491.94	ok
0.168	118	478.09	ok
0.105	67	542.12	ok
0.171	119	477.52	ok
0.073	62	581.05	ok
0.134	92	521.61	ok
0.132	89	538.53	ok
0.117	76	565.6	ok
0.133	90	553.3	ok
0.131	86	556.31	ok
0.134	93	554.19	ok
0.248	137	440.74	ok
0.112	71	576.87	ok
0.106	69	583.67	ok
0.118	80	572.56	ok
0.118	81	576.4	ok
0.13	84	567.86	ok
0.117	75	582.03	ok
0.134	94	565.22	ok
0.106	68	600.03	ok
0.117	77	589.4	ok
0.151	105	574.91	ok
0.162	113	564.95	ok
0.343	2	383.96	ok
0.167	115	561.55	ok
0.135	97	600.12	ok
0.387	21	348.89	ok
0.34	6	396.43	ok
0.2	127	537.32	ok
0.16	112	577.7	ok
0.133	91	604.8	ok
0.279	144	463.22	ok
0.152	106	591.48	ok
0.238	136	506.51	ok
0.147	102	597.87	ok
0.152	107	602.38	ok
0.344	158	415.23	ok
0.273	143	486.52	ok
0.264	140	497.45	ok
0.353	14	408.82	ok
0.285	146	477.47	ok
0.366	35	396.18	ok
0.369	38	394.26	ok
0.118	78	648.44	ok
0.118	82	649.88	ok
0.26	139	508.85	ok
0.135	98	638.46	ok
0.353	17	421.31	ok
0.35	8	425.6	ok
0.386	48	389.5	ok
0.378	41	399.81	ok
0.352	11	432.64	ok
0.11	70	678.95	ok
0.253	138	536.92	ok
0.352	12	438.94	ok
0.367	36	425.18	ok
0.321	157	471.26	ok
0.374	31	419.43	ok
0.285	147	508.44	ok
0.361	30	433.52	ok
0.131	85	663.76	ok
0.153	108	642.26	ok
0.345	5	450.32	ok
0.359	27	437.74	ok
0.34	1	462.55	ok
0.269	141	534.16	ok
0.284	145	520.07	ok
0.118	79	687.61	ok
0.404	34	402.13	ok
0.378	44	456.05	ok
0.354	20	486.74	ok
0.339	4	506.57	ok
0.353	13	494.06	ok
0.351	3	496.31	ok
0.364	33	483.53	ok
0.351	9	497.93	ok
0.27	142	578.92	ok
0.373	28	483.24	ok
0.345	159	524.5	ok
0.444	0	425.74	ok
0.43	54	440.49	ok
0.451	18	420.27	ok
0.286	150	585.81	ok
0.452	15	420.9	ok
0.294	156	579.22	ok
0.287	153	586.38	ok
0.515	120	359.39	ok
0.433	40	462.21	ok
0.286	148	610.0	ok
0.363	29	536.08	ok
0.459	10	446.32	ok
0.497	39	417.55	ok
0.371	32	544.22	ok
0.486	53	429.48	ok
0.521	56	399.12	ok
0.287	152	636.42	ok
0.286	149	638.75	ok
0.544	125	381.31	ok
0.548	128	381.74	ok
0.287	151	645.36	ok
0.52	26	416.34	ok
0.532	23	404.87	ok
0.454	60	487.96	ok
0.525	42	418.28	ok
0.453	51	491.12	ok
0.524	72	420.16	ok
0.496	63	449.4	ok
0.354	19	594.45	ok
0.559	131	390.87	ok
0.557	110	393.56	ok
0.558	47	392.75	ok
0.526	57	425.78	ok
0.531	122	420.8	ok
0.488	25	464.89	ok
0.465	37	488.97	ok
0.487	52	466.74	ok
0.464	7	490.91	ok
0.56	59	395.32	ok
0.499	100	456.16	ok
0.488	49	467.83	ok
0.572	65	385.15	ok
0.514	46	444.03	ok
0.288	154	670.29	ok
0.573	74	385.95	ok
0.288	155	671.59	ok
0.559	104	400.67	ok
0.489	58	476.21	ok
0.512	55	453.46	ok
0.513	43	454.64	ok
0.532	123	456.21	ok
