arm block rows_before sec rows_per_sec bp_reads bp_read_req data_reads
none 0 5000000 1.73 57803 208 514255 209
nonunique 0 5100000 1.91 52356 210 719405 211
unique 0 5200000 1.84 54348 212 719420 213
nonunique 1 5300000 1.90 52632 211 719404 212
unique 1 5400000 1.82 54945 210 719290 211
none 1 5500000 1.78 56180 639 514303 639
unique 2 5600000 1.87 53476 214 719390 215
none 2 5700000 1.72 58140 200 513789 200
nonunique 2 5800000 1.86 53763 212 719417 213
none 3 5900000 1.81 55249 206 513803 206
nonunique 3 6000000 1.90 52632 209 719126 209
unique 3 6100000 1.86 53763 211 719389 212
