arm block rows_before sec rows_per_sec bp_reads bp_read_req data_reads
none 0 3000000 1.90 52632 0 513893 0
nonunique 0 3100000 2.12 47170 0 719568 0
unique 0 3200000 2.10 47619 0 718996 0
nonunique 1 3300000 2.10 47619 0 718973 0
unique 1 3400000 2.07 48309 0 718985 0
none 1 3500000 1.93 51813 0 514298 0
unique 2 3600000 2.09 47847 0 718995 0
none 2 3700000 1.84 54348 0 513804 0
nonunique 2 3800000 1.98 50505 0 718974 0
none 3 3900000 1.85 54054 0 513805 0
nonunique 3 4000000 2.04 49020 0 718990 0
unique 3 4100000 2.04 49020 0 719584 0
