arm block rows_before sec rows_per_sec bp_reads bp_read_req data_reads
none 0 5000000 3.00 33333 1715 1179077 1996
nonunique 0 5100000 50.36 1986 33943 2701081 53153
unique 0 5200000 100.92 991 109165 2018993 112307
nonunique 1 5300000 51.39 1946 34898 2642779 53784
unique 1 5400000 102.94 971 110887 2046416 114107
none 1 5500000 3.35 29851 1083 1240887 2164
unique 2 5600000 103.62 965 111729 1978206 114819
none 2 5700000 3.03 33003 928 1206521 1855
nonunique 2 5800000 55.49 1802 37818 2721347 57949
none 3 5900000 7.95 12579 2383 1399640 9524
nonunique 3 6000000 58.84 1700 39892 2808634 61439
unique 3 6100000 107.80 928 115436 2052430 118533
